signature_name,gene_id,gene_type,gene_name,weight
B_cell_Helmink,ENSG00000138670.19,protein_coding,RASGEF1B,NA
B_cell_Helmink,ENSG00000112149.10,protein_coding,CD83,NA
B_cell_Helmink,ENSG00000164031.17,protein_coding,DNAJB14,NA
B_cell_Helmink,ENSG00000126353.3,protein_coding,CCR7,NA
B_cell_Helmink,NA,NA,KIAA1683,NA
B_cell_Helmink,ENSG00000162924.15,protein_coding,REL,NA
B_cell_Helmink,ENSG00000120694.20,protein_coding,HSPH1,NA
B_cell_Helmink,ENSG00000132510.11,protein_coding,KDM6B,NA
B_cell_Helmink,ENSG00000133639.6,protein_coding,BTG1,NA
B_cell_Helmink,ENSG00000119866.22,protein_coding,BCL11A,NA
B_cell_Helmink,ENSG00000153234.15,protein_coding,NR4A2,NA
B_cell_Helmink,NA,NA,TMEM2,NA
B_cell_Helmink,ENSG00000147894.17,protein_coding,C9orf72,NA
B_cell_Helmink,ENSG00000124228.15,protein_coding,DDX27,NA
B_cell_Helmink,ENSG00000122224.18,protein_coding,LY9,NA
B_cell_Helmink,ENSG00000123358.20,protein_coding,NR4A1,NA
B_cell_Helmink,ENSG00000179094.16,protein_coding,PER1,NA
B_cell_Helmink,ENSG00000138639.18,protein_coding,ARHGAP24,NA
B_cell_Helmink,ENSG00000119508.18,protein_coding,NR4A3,NA
B_cell_Helmink,ENSG00000136603.14,protein_coding,SKIL,NA
B_cell_Helmink,ENSG00000130844.19,protein_coding,ZNF331,NA
B_cell_Helmink,ENSG00000169508.7,protein_coding,GPR183,NA
B_cell_Helmink,ENSG00000121966.8,protein_coding,CXCR4,NA
B_cell_Helmink,ENSG00000116731.23,protein_coding,PRDM2,NA
B_cell_Helmink,ENSG00000167552.15,protein_coding,TUBA1A,NA
B_cell_Helmink,ENSG00000156738.18,protein_coding,MS4A1,NA
B_cell_Helmink,ENSG00000105643.11,protein_coding,ARRDC2,NA
B_cell_Helmink,NA,NA,PRMT10,NA
B_cell_Helmink,ENSG00000152518.8,protein_coding,ZFP36L2,NA
B_cell_Helmink,NA,NA,KIAA0226L,NA
B_cell_Helmink,ENSG00000167604.15,protein_coding,NFKBID,NA
B_cell_Helmink,NA,NA,FAIM3,NA
B_cell_Helmink,ENSG00000109321.11,protein_coding,AREG,NA
B_cell_Helmink,ENSG00000055483.20,protein_coding,USP36,NA
B_cell_Helmink,ENSG00000153201.16,protein_coding,RANBP2,NA
B_cell_Helmink,NA,NA,LOH12CR1,NA
B_cell_Helmink,ENSG00000153922.11,protein_coding,CHD1,NA
B_cell_Helmink,NA,NA,FAM46C,NA
B_cell_Helmink,ENSG00000086061.16,protein_coding,DNAJA1,NA
B_cell_Helmink,ENSG00000059804.16,protein_coding,SLC2A3,NA
B_cell_Helmink,ENSG00000092820.19,protein_coding,EZR,NA
B_cell_Helmink,ENSG00000143933.20,protein_coding,CALM2,NA
B_cell_Helmink,ENSG00000015568.13,protein_coding,RGPD5,NA
B_cell_Helmink,ENSG00000139722.7,protein_coding,VPS37B,NA
B_cell_Helmink,ENSG00000177426.22,protein_coding,TGIF1,NA
B_cell_Helmink,ENSG00000095794.20,protein_coding,CREM,NA
B_cell_Helmink,ENSG00000119801.13,protein_coding,YPEL5,NA
B_cell_Helmink,ENSG00000153064.12,protein_coding,BANK1,NA
B_cell_Helmink,ENSG00000051108.15,protein_coding,HERPUD1,NA
B_cell_Helmink,ENSG00000130522.6,protein_coding,JUND,NA
B_cell_Helmink,ENSG00000196428.13,protein_coding,TSC22D2,NA
B_cell_Helmink,ENSG00000131127.14,protein_coding,ZNF141,NA
B_cell_Helmink,ENSG00000141580.16,protein_coding,WDR45B,NA
B_cell_Helmink,ENSG00000164548.12,protein_coding,TRA2A,NA
B_cell_Helmink,ENSG00000123975.5,protein_coding,CKS2,NA
B_cell_Helmink,ENSG00000110848.8,protein_coding,CD69,NA
B_cell_Helmink,ENSG00000067048.17,protein_coding,DDX3Y,NA
B_cell_Helmink,ENSG00000101596.17,protein_coding,SMCHD1,NA
B_cell_Helmink,ENSG00000133316.16,protein_coding,WDR74,NA
B_cell_Helmink,ENSG00000254415.4,protein_coding,SIGLEC14,NA
B_cell_Helmink,ENSG00000101901.12,protein_coding,ALG13,NA
B_cell_Helmink,ENSG00000197279.5,protein_coding,ZNF165,NA
B_cell_Helmink,ENSG00000167553.17,protein_coding,TUBA1C,NA
B_cell_Helmink,ENSG00000132002.9,protein_coding,DNAJB1,NA
B_cell_Helmink,ENSG00000137575.12,protein_coding,SDCBP,NA
B_cell_Helmink,ENSG00000150977.11,protein_coding,RILPL2,NA
