signature_name,gene_name
CD39-CD8 Tcell_Chow,ENTPD1
CD39-CD8 Tcell_Chow,B2M
CD39-CD8 Tcell_Chow,CD2
CD39-CD8 Tcell_Chow,CD247
CD39-CD8 Tcell_Chow,CD96
CD39-CD8 Tcell_Chow,CXCL13
CD39-CD8 Tcell_Chow,CXCR6
CD39-CD8 Tcell_Chow,GNLY
CD39-CD8 Tcell_Chow,GZMA
CD39-CD8 Tcell_Chow,HCST
CD39-CD8 Tcell_Chow,HLA-B
CD39-CD8 Tcell_Chow,IKZF3
CD39-CD8 Tcell_Chow,ITGAL
CD39-CD8 Tcell_Chow,KLRB1
CD39-CD8 Tcell_Chow,KLRC1
CD39-CD8 Tcell_Chow,LCK
CD39-CD8 Tcell_Chow,LSP1
CD39-CD8 Tcell_Chow,PDCD1
CD39-CD8 Tcell_Chow,PTPN22
CD39-CD8 Tcell_Chow,TNIP3
CD39-CD8 Tcell_Chow,TRAV12-3
CD39-CD8 Tcell_Chow,TRBV4-2
CD39-CD8 Tcell_Chow,ZNF683
