"signature_name","gene_id","gene_type","gene_name","weight"
"CD8_SF","ENSG00000168685.15","protein_coding","IL7R",1
"CD8_SF","ENSG00000169508.7","protein_coding","GPR183",1
"CD8_SF","ENSG00000160789.24","protein_coding","LMNA",1
"CD8_SF","ENSG00000119508.18","protein_coding","NR4A3",1
"CD8_SF","ENSG00000081059.20","protein_coding","TCF7",1
"CD8_SF","ENSG00000071073.13","protein_coding","MGAT4A",1
"CD8_SF","ENSG00000196352.18","protein_coding","CD55",1
"CD8_SF",NA,NA,"AIM1",NA
"CD8_SF","ENSG00000179094.16","protein_coding","PER1",1
"CD8_SF","ENSG00000075426.12","protein_coding","FOSL2",1
"CD8_SF","ENSG00000120738.8","protein_coding","EGR1",1
"CD8_SF","ENSG00000184205.14","protein_coding","TSPYL2",1
"CD8_SF","ENSG00000119801.13","protein_coding","YPEL5",1
"CD8_SF","ENSG00000144655.15","protein_coding","CSRNP1",1
"CD8_SF","ENSG00000162924.15","protein_coding","REL",1
"CD8_SF","ENSG00000136603.14","protein_coding","SKIL",1
"CD8_SF","ENSG00000145675.15","protein_coding","PIK3R1",1
"CD8_SF","ENSG00000114861.24","protein_coding","FOXP1",1
"CD8_SF","ENSG00000102760.13","protein_coding","RGCC",1
"CD8_SF","ENSG00000170525.21","protein_coding","PFKFB3",1
"CD8_SF","ENSG00000179820.16","protein_coding","MYADM",1
"CD8_SF","ENSG00000152518.8","protein_coding","ZFP36L2",1
"CD8_SF","ENSG00000055483.20","protein_coding","USP36",1
"CD8_SF","ENSG00000165929.13","protein_coding","TC2N",1
"CD8_SF","ENSG00000151327.13","protein_coding","FAM177A1",1
"CD8_SF","ENSG00000159388.6","protein_coding","BTG2",1
"CD8_SF","ENSG00000196428.13","protein_coding","TSC22D2",1
"CD8_SF",NA,NA,"FAM65B",NA
"CD8_SF","ENSG00000138378.19","protein_coding","STAT4",1
"CD8_SF","ENSG00000015568.13","protein_coding","RGPD5",1
"CD8_SF","ENSG00000204386.12","protein_coding","NEU1",1
"CD8_SF","ENSG00000006652.15","protein_coding","IFRD1",1
"CD8_SF","ENSG00000184588.18","protein_coding","PDE4B",1
"CD8_SF","ENSG00000123358.20","protein_coding","NR4A1",1
