signature_name,gene_id,gene_type,gene_name,weight
CIN25_Carter,ENSG00000118707.11,protein_coding,TGIF2,NA
CIN25_Carter,ENSG00000157456.8,protein_coding,CCNB2,NA
CIN25_Carter,ENSG00000150753.12,protein_coding,CCT5,NA
CIN25_Carter,ENSG00000093009.11,protein_coding,CDC45,NA
CIN25_Carter,ENSG00000135476.12,protein_coding,ESPL1,NA
CIN25_Carter,ENSG00000168496.4,protein_coding,FEN1,NA
CIN25_Carter,ENSG00000111206.13,protein_coding,FOXM1,NA
CIN25_Carter,ENSG00000112984.12,protein_coding,KIF20A,NA
CIN25_Carter,ENSG00000164109.14,protein_coding,MAD2L1,NA
CIN25_Carter,ENSG00000073111.14,protein_coding,MCM2,NA
CIN25_Carter,ENSG00000166508.18,protein_coding,MCM7,NA
CIN25_Carter,ENSG00000165304.8,protein_coding,MELK,NA
CIN25_Carter,ENSG00000132646.11,protein_coding,PCNA,NA
CIN25_Carter,ENSG00000198901.14,protein_coding,PRC1,NA
CIN25_Carter,ENSG00000111247.15,protein_coding,RAD51AP1,NA
CIN25_Carter,ENSG00000163918.12,protein_coding,RFC4,NA
CIN25_Carter,ENSG00000104889.7,protein_coding,RNASEH2A,NA
CIN25_Carter,ENSG00000131747.15,protein_coding,TOP2A,NA
CIN25_Carter,ENSG00000088325.16,protein_coding,TPX2,NA
CIN25_Carter,ENSG00000071539.14,protein_coding,TRIP13,NA
CIN25_Carter,ENSG00000112742.10,protein_coding,TTK,NA
CIN25_Carter,ENSG00000175063.17,protein_coding,UBE2C,NA
CIN25_Carter,ENSG00000170312.17,protein_coding,CDK1,NA
CIN25_Carter,NA,NA,H2AFZ,NA
CIN25_Carter,NA,NA,CNAP1,NA
