signature_name,gene_id,gene_type,gene_name,weight
EMTstroma_Wang,ENSG00000128595.17,protein_coding,CALU,NA
EMTstroma_Wang,ENSG00000196924.19,protein_coding,FLNA,NA
EMTstroma_Wang,ENSG00000123384.14,protein_coding,LRP1,NA
EMTstroma_Wang,ENSG00000142227.11,protein_coding,EMP3,NA
EMTstroma_Wang,ENSG00000135919.14,protein_coding,SERPINE2,NA
EMTstroma_Wang,ENSG00000122786.20,protein_coding,CALD1,NA
EMTstroma_Wang,ENSG00000115414.21,protein_coding,FN1,NA
EMTstroma_Wang,ENSG00000176692.8,protein_coding,FOXC2,NA
EMTstroma_Wang,ENSG00000142173.16,protein_coding,COL6A2,NA
EMTstroma_Wang,ENSG00000196569.14,protein_coding,LAMA2,NA
EMTstroma_Wang,ENSG00000113083.15,protein_coding,LOX,NA
EMTstroma_Wang,ENSG00000026025.16,protein_coding,VIM,NA
EMTstroma_Wang,ENSG00000143369.15,protein_coding,ECM1,NA
EMTstroma_Wang,ENSG00000164932.13,protein_coding,CTHRC1,NA
EMTstroma_Wang,ENSG00000166147.15,protein_coding,FBN1,NA
EMTstroma_Wang,ENSG00000163359.17,protein_coding,COL6A3,NA
EMTstroma_Wang,ENSG00000197614.11,protein_coding,MFAP5,NA
EMTstroma_Wang,ENSG00000041982.16,protein_coding,TNC,NA
