signature_name,gene_id,gene_type,gene_name,weight
IMPRES,ENSG00000186265.10,protein_coding,BTLA,-1
IMPRES,ENSG00000107738.20,protein_coding,VSIR,-1
IMPRES,ENSG00000091972.18,protein_coding,CD200,-1
IMPRES,ENSG00000163606.11,protein_coding,CD200R1,-1
IMPRES,ENSG00000139193.4,protein_coding,CD27,1
IMPRES,ENSG00000120217.14,protein_coding,CD274,-1
IMPRES,ENSG00000103855.18,protein_coding,CD276,-1
IMPRES,ENSG00000178562.18,protein_coding,CD28,1
IMPRES,ENSG00000101017.15,protein_coding,CD40,1
IMPRES,ENSG00000121594.12,protein_coding,CD80,-1
IMPRES,ENSG00000114013.16,protein_coding,CD86,-1
IMPRES,ENSG00000079385.23,protein_coding,CEACAM1,-1
IMPRES,ENSG00000163599.18,protein_coding,CTLA4,-1
IMPRES,ENSG00000135077.10,protein_coding,HAVCR2,-1
IMPRES,ENSG00000131203.13,protein_coding,IDO1,-1
IMPRES,ENSG00000100385.14,protein_coding,IL2RB,1
IMPRES,ENSG00000089692.9,protein_coding,LAG3,-1
IMPRES,ENSG00000188389.11,protein_coding,PDCD1,-1
IMPRES,ENSG00000197646.8,protein_coding,PDCD1LG2,-1
IMPRES,ENSG00000073008.15,protein_coding,PVR,-1
IMPRES,ENSG00000130202.10,protein_coding,NECTIN2,-1
IMPRES,ENSG00000181847.12,protein_coding,TIGIT,-1
IMPRES,ENSG00000157873.18,protein_coding,TNFRSF14,1
IMPRES,ENSG00000186891.14,protein_coding,TNFRSF18,1
IMPRES,ENSG00000186827.11,protein_coding,TNFRSF4,1
IMPRES,ENSG00000049249.9,protein_coding,TNFRSF9,1
IMPRES,ENSG00000117586.11,protein_coding,TNFSF4,1
IMPRES,ENSG00000125657.5,protein_coding,TNFSF9,1
