"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"CCL5-CXCL9_Dangaj","ENSG00000271503.6","protein_coding","CCL5",1,6352
"CCL5-CXCL9_Dangaj","ENSG00000116824.5","protein_coding","CD2",1,914
"CCL5-CXCL9_Dangaj","ENSG00000198821.11","protein_coding","CD247",1,919
"CCL5-CXCL9_Dangaj","ENSG00000198851.10","protein_coding","CD3E",1,916
"CCL5-CXCL9_Dangaj","ENSG00000010610.10","protein_coding","CD4",1,920
"CCL5-CXCL9_Dangaj","ENSG00000143119.14","protein_coding","CD53",1,963
"CCL5-CXCL9_Dangaj","ENSG00000114013.16","protein_coding","CD86",1,942
"CCL5-CXCL9_Dangaj","ENSG00000153563.16","protein_coding","CD8A",1,925
"CCL5-CXCL9_Dangaj","ENSG00000138755.6","protein_coding","CXCL9",1,4283
"CCL5-CXCL9_Dangaj","ENSG00000134516.20","protein_coding","DOCK2",1,1794
"CCL5-CXCL9_Dangaj","ENSG00000162645.13","protein_coding","GBP2",1,2634
"CCL5-CXCL9_Dangaj","ENSG00000113088.6","protein_coding","GZMK",1,3003
"CCL5-CXCL9_Dangaj","ENSG00000110324.12","protein_coding","IL10RA",1,3587
"CCL5-CXCL9_Dangaj","ENSG00000100385.14","protein_coding","IL2RB",1,3560
"CCL5-CXCL9_Dangaj","ENSG00000125347.15","protein_coding","IRF1",1,3659
"CCL5-CXCL9_Dangaj","ENSG00000162511.8","protein_coding","LAPTM5",1,7805
"CCL5-CXCL9_Dangaj","ENSG00000136167.15","protein_coding","LCP1",1,3936
"CCL5-CXCL9_Dangaj","ENSG00000081237.20","protein_coding","PTPRC",1,5788
"CCL5-CXCL9_Dangaj","ENSG00000155465.20","protein_coding","SLC7A7",1,9056
"CCL5-CXCL9_Dangaj","ENSG00000115415.20","protein_coding","STAT1",1,6772
"CCL5-CXCL9_Dangaj","ENSG00000049249.9","protein_coding","TNFRSF9",1,3604
