"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000140284.11","protein_coding","SLC27A2",NA,11001
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000116171.19","protein_coding","SCP2",NA,6342
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000168306.13","protein_coding","ACOX2",NA,8309
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000060971.19","protein_coding","ACAA1",NA,30
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000095321.18","protein_coding","CRAT",NA,1384
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000107537.14","protein_coding","PHYH",NA,5264
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000116882.15","protein_coding","HAO2",NA,51179
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000113790.11","protein_coding","EHHADH",NA,1962
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000115425.14","protein_coding","PECR",NA,55825
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000133835.18","protein_coding","HSD17B4",NA,3295
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000140876.11","protein_coding","NUDT7",NA,283927
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000131373.15","protein_coding","HACL1",NA,26061
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000087008.16","protein_coding","ACOX3",NA,8310
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000103150.7","protein_coding","MLYCD",NA,23417
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000072210.19","protein_coding","ALDH3A2",NA,224
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000242110.8","protein_coding","AMACR",NA,23600
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000181513.15","protein_coding","ACBD4",NA,79777
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000177465.5","protein_coding","ACOT4",NA,122970
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000101986.12","protein_coding","ABCD1",NA,215
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000242612.7","protein_coding","DECR2",NA,26063
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000205669.4","protein_coding","ACOT6",NA,641372
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000198721.13","protein_coding","ECI2",NA,10455
"PassON_Du","REACTOME_PEROXISOMAL_LIPID_METABOLISM","ENSG00000107897.20","protein_coding","ACBD5",NA,91452
