"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"Tcell-inflamed_Ayers","ENSG00000271503.6","protein_coding","CCL5",1,6352
"Tcell-inflamed_Ayers","ENSG00000139193.4","protein_coding","CD27",1,939
"Tcell-inflamed_Ayers","ENSG00000120217.14","protein_coding","CD274",1,29126
"Tcell-inflamed_Ayers","ENSG00000103855.18","protein_coding","CD276",1,80381
"Tcell-inflamed_Ayers","ENSG00000153563.16","protein_coding","CD8A",1,925
"Tcell-inflamed_Ayers","ENSG00000174600.14","protein_coding","CMKLR1",1,1240
"Tcell-inflamed_Ayers","ENSG00000138755.6","protein_coding","CXCL9",1,4283
"Tcell-inflamed_Ayers","ENSG00000172215.6","protein_coding","CXCR6",1,10663
"Tcell-inflamed_Ayers","ENSG00000196735.13","protein_coding","HLA-DQA1",1,NA
"Tcell-inflamed_Ayers","ENSG00000196126.12","protein_coding","HLA-DRB1",1,3123
"Tcell-inflamed_Ayers","ENSG00000204592.9","protein_coding","HLA-E",1,3133
"Tcell-inflamed_Ayers","ENSG00000131203.13","protein_coding","IDO1",1,3620
"Tcell-inflamed_Ayers","ENSG00000089692.9","protein_coding","LAG3",1,3902
"Tcell-inflamed_Ayers","ENSG00000105374.10","protein_coding","NKG7",1,4818
"Tcell-inflamed_Ayers","ENSG00000197646.8","protein_coding","PDCD1LG2",1,80380
"Tcell-inflamed_Ayers","ENSG00000181847.12","protein_coding","TIGIT",1,201633
"Tcell-inflamed_Ayers","ENSG00000205220.12","protein_coding","PSMB10",1,5699
"Tcell-inflamed_Ayers","ENSG00000115415.20","protein_coding","STAT1",1,6772
