"","signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"1","IPRES","MAPKi_INDUCED_EMT","ENSG00000148848.15","protein_coding","ADAM12",NA
"2","IPRES","MAPKi_INDUCED_EMT","ENSG00000087586.18","protein_coding","AURKA",NA
"3","IPRES","MAPKi_INDUCED_EMT","ENSG00000060982.15","protein_coding","BCAT1",NA
"4","IPRES","MAPKi_INDUCED_EMT","ENSG00000182492.16","protein_coding","BGN",NA
"5","IPRES","MAPKi_INDUCED_EMT","ENSG00000140937.14","protein_coding","CDH11",NA
"6","IPRES","MAPKi_INDUCED_EMT","ENSG00000117724.14","protein_coding","CENPF",NA
"7","IPRES","MAPKi_INDUCED_EMT","ENSG00000123975.5","protein_coding","CKS2",NA
"8","IPRES","MAPKi_INDUCED_EMT","ENSG00000123500.10","protein_coding","COL10A1",NA
"9","IPRES","MAPKi_INDUCED_EMT","ENSG00000060718.22","protein_coding","COL11A1",NA
"10","IPRES","MAPKi_INDUCED_EMT","ENSG00000168542.16","protein_coding","COL3A1",NA
"11","IPRES","MAPKi_INDUCED_EMT","ENSG00000130635.16","protein_coding","COL5A1",NA
"12","IPRES","MAPKi_INDUCED_EMT","ENSG00000204262.14","protein_coding","COL5A2",NA
"13","IPRES","MAPKi_INDUCED_EMT","ENSG00000142173.16","protein_coding","COL6A2",NA
"14","IPRES","MAPKi_INDUCED_EMT","ENSG00000163359.17","protein_coding","COL6A3",NA
"15","IPRES","MAPKi_INDUCED_EMT","ENSG00000143476.18","protein_coding","DTL",NA
"16","IPRES","MAPKi_INDUCED_EMT","ENSG00000083782.8","protein_coding","EPYC",NA
"17","IPRES","MAPKi_INDUCED_EMT","ENSG00000078098.15","protein_coding","FAP",NA
"18","IPRES","MAPKi_INDUCED_EMT","ENSG00000198019.13","protein_coding","FCGR1B",NA
"19","IPRES","MAPKi_INDUCED_EMT","ENSG00000115414.21","protein_coding","FN1",NA
"20","IPRES","MAPKi_INDUCED_EMT","ENSG00000166923.12","protein_coding","GREM1",NA
"21","IPRES","MAPKi_INDUCED_EMT","ENSG00000211899.10","IG_C_gene","IGHM",NA
"22","IPRES","MAPKi_INDUCED_EMT","ENSG00000122641.11","protein_coding","INHBA",NA
"23","IPRES","MAPKi_INDUCED_EMT","ENSG00000142945.13","protein_coding","KIF2C",NA
"24","IPRES","MAPKi_INDUCED_EMT","ENSG00000134013.16","protein_coding","LOXL2",NA
"25","IPRES","MAPKi_INDUCED_EMT","ENSG00000172061.9","protein_coding","LRRC15",NA
"26","IPRES","MAPKi_INDUCED_EMT","ENSG00000099953.10","protein_coding","MMP11",NA
"27","IPRES","MAPKi_INDUCED_EMT","ENSG00000109805.10","protein_coding","NCAPG",NA
"28","IPRES","MAPKi_INDUCED_EMT","ENSG00000087303.19","protein_coding","NID2",NA
"29","IPRES","MAPKi_INDUCED_EMT","ENSG00000074590.14","protein_coding","NUAK1",NA
"30","IPRES","MAPKi_INDUCED_EMT","ENSG00000171848.16","protein_coding","RRM2",NA
"31","IPRES","MAPKi_INDUCED_EMT","ENSG00000141526.18","protein_coding","SLC16A3",NA
"32","IPRES","MAPKi_INDUCED_EMT","ENSG00000137573.14","protein_coding","SULF1",NA
"33","IPRES","MAPKi_INDUCED_EMT","ENSG00000123610.5","protein_coding","TNFAIP6",NA
"34","IPRES","MAPKi_INDUCED_EMT","ENSG00000038427.16","protein_coding","VCAN",NA
