"","signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"1","IPRES","POST_OP_WOUNDHEALING","ENSG00000149968.12","protein_coding","MMP3",NA
"2","IPRES","POST_OP_WOUNDHEALING","ENSG00000163736.4","protein_coding","PPBP",NA
"3","IPRES","POST_OP_WOUNDHEALING","ENSG00000163735.7","protein_coding","CXCL5",NA
"4","IPRES","POST_OP_WOUNDHEALING","ENSG00000163661.4","protein_coding","PTX3",NA
"5","IPRES","POST_OP_WOUNDHEALING","ENSG00000087494.16","protein_coding","PTHLH",NA
"6","IPRES","POST_OP_WOUNDHEALING","ENSG00000151790.9","protein_coding","TDO2",NA
"7","IPRES","POST_OP_WOUNDHEALING","ENSG00000178172.7","protein_coding","SPINK6",NA
"8","IPRES","POST_OP_WOUNDHEALING","ENSG00000118785.15","protein_coding","SPP1",NA
"9","IPRES","POST_OP_WOUNDHEALING","ENSG00000166670.10","protein_coding","MMP10",NA
"10","IPRES","POST_OP_WOUNDHEALING",NA,NA,"IL8",NA
"11","IPRES","POST_OP_WOUNDHEALING","ENSG00000196549.13","protein_coding","MME",NA
"12","IPRES","POST_OP_WOUNDHEALING","ENSG00000166923.12","protein_coding","GREM1",NA
"13","IPRES","POST_OP_WOUNDHEALING","ENSG00000101160.15","protein_coding","CTSZ",NA
"14","IPRES","POST_OP_WOUNDHEALING","ENSG00000124875.10","protein_coding","CXCL6",NA
"15","IPRES","POST_OP_WOUNDHEALING","ENSG00000137801.11","protein_coding","THBS1",NA
"16","IPRES","POST_OP_WOUNDHEALING","ENSG00000166922.9","protein_coding","SCG5",NA
"17","IPRES","POST_OP_WOUNDHEALING","ENSG00000105825.14","protein_coding","TFPI2",NA
"18","IPRES","POST_OP_WOUNDHEALING","ENSG00000073756.13","protein_coding","PTGS2",NA
"19","IPRES","POST_OP_WOUNDHEALING","ENSG00000163739.5","protein_coding","CXCL1",NA
"20","IPRES","POST_OP_WOUNDHEALING","ENSG00000115008.6","protein_coding","IL1A",NA
"21","IPRES","POST_OP_WOUNDHEALING","ENSG00000175426.11","protein_coding","PCSK1",NA
"22","IPRES","POST_OP_WOUNDHEALING","ENSG00000109321.11","protein_coding","AREG",NA
"23","IPRES","POST_OP_WOUNDHEALING","ENSG00000123496.8","protein_coding","IL13RA2",NA
"24","IPRES","POST_OP_WOUNDHEALING",NA,NA,"KIAA1199",NA
"25","IPRES","POST_OP_WOUNDHEALING","ENSG00000275385.2","protein_coding","CCL18",NA
"26","IPRES","POST_OP_WOUNDHEALING","ENSG00000134363.12","protein_coding","FST",NA
"27","IPRES","POST_OP_WOUNDHEALING","ENSG00000104972.16","protein_coding","LILRB1",NA
"28","IPRES","POST_OP_WOUNDHEALING","ENSG00000168036.18","protein_coding","CTNNB1",NA
"29","IPRES","POST_OP_WOUNDHEALING","ENSG00000105205.7","protein_coding","CLC",NA
"30","IPRES","POST_OP_WOUNDHEALING","ENSG00000163734.4","protein_coding","CXCL3",NA
"31","IPRES","POST_OP_WOUNDHEALING","ENSG00000086548.9","protein_coding","CEACAM6",NA
"32","IPRES","POST_OP_WOUNDHEALING","ENSG00000131042.15","protein_coding","LILRB2",NA
"33","IPRES","POST_OP_WOUNDHEALING","ENSG00000078747.16","protein_coding","ITCH",NA
"34","IPRES","POST_OP_WOUNDHEALING","ENSG00000163221.9","protein_coding","S100A12",NA
"35","IPRES","POST_OP_WOUNDHEALING","ENSG00000150636.17","protein_coding","CCDC102B",NA
"36","IPRES","POST_OP_WOUNDHEALING","ENSG00000107249.24","protein_coding","GLIS3",NA
"37","IPRES","POST_OP_WOUNDHEALING","ENSG00000166926.9","protein_coding","MS4A6E",NA
"38","IPRES","POST_OP_WOUNDHEALING","ENSG00000118849.10","protein_coding","RARRES1",NA
"39","IPRES","POST_OP_WOUNDHEALING","ENSG00000157168.20","protein_coding","NRG1",NA
"40","IPRES","POST_OP_WOUNDHEALING","ENSG00000139289.14","protein_coding","PHLDA1",NA
"41","IPRES","POST_OP_WOUNDHEALING","ENSG00000110079.19","protein_coding","MS4A4A",NA
"42","IPRES","POST_OP_WOUNDHEALING","ENSG00000170961.7","protein_coding","HAS2",NA
"43","IPRES","POST_OP_WOUNDHEALING","ENSG00000105967.16","protein_coding","TFEC",NA
"44","IPRES","POST_OP_WOUNDHEALING","ENSG00000163823.4","protein_coding","CCR1",NA
"45","IPRES","POST_OP_WOUNDHEALING","ENSG00000138772.13","protein_coding","ANXA3",NA
"46","IPRES","POST_OP_WOUNDHEALING","ENSG00000203710.12","protein_coding","CR1",NA
"47","IPRES","POST_OP_WOUNDHEALING","ENSG00000115602.17","protein_coding","IL1RL1",NA
"48","IPRES","POST_OP_WOUNDHEALING","ENSG00000148848.15","protein_coding","ADAM12",NA
"49","IPRES","POST_OP_WOUNDHEALING","ENSG00000133101.10","protein_coding","CCNA1",NA
"50","IPRES","POST_OP_WOUNDHEALING","ENSG00000146070.17","protein_coding","PLA2G7",NA
"51","IPRES","POST_OP_WOUNDHEALING","ENSG00000138792.10","protein_coding","ENPEP",NA
"52","IPRES","POST_OP_WOUNDHEALING","ENSG00000262655.4","protein_coding","SPON1",NA
"53","IPRES","POST_OP_WOUNDHEALING","ENSG00000122641.11","protein_coding","INHBA",NA
"54","IPRES","POST_OP_WOUNDHEALING","ENSG00000164647.9","protein_coding","STEAP1",NA
"55","IPRES","POST_OP_WOUNDHEALING","ENSG00000127954.13","protein_coding","STEAP4",NA
"56","IPRES","POST_OP_WOUNDHEALING","ENSG00000158164.7","protein_coding","TMSB15A",NA
"57","IPRES","POST_OP_WOUNDHEALING","ENSG00000140285.12","protein_coding","FGF7",NA
"58","IPRES","POST_OP_WOUNDHEALING","ENSG00000137558.9","protein_coding","PI15",NA
"59","IPRES","POST_OP_WOUNDHEALING",NA,NA,"C8orf4",NA
"60","IPRES","POST_OP_WOUNDHEALING","ENSG00000165168.9","protein_coding","CYBB",NA
"61","IPRES","POST_OP_WOUNDHEALING","ENSG00000130772.14","protein_coding","MED18",NA
"62","IPRES","POST_OP_WOUNDHEALING","ENSG00000140749.9","protein_coding","IGSF6",NA
