"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000113721.14","protein_coding","PDGFRB",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000082196.21","protein_coding","C1QTNF3",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000038427.16","protein_coding","VCAN",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000105664.11","protein_coding","COMP",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000166923.12","protein_coding","GREM1",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000130635.16","protein_coding","COL5A1",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000162745.11","protein_coding","OLFML2B",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000204262.14","protein_coding","COL5A2",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000106819.13","protein_coding","ASPN",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000100234.12","protein_coding","TIMP3",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000106483.12","protein_coding","SFRP4",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000152377.14","protein_coding","SPOCK1",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000163359.17","protein_coding","COL6A3",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000140937.14","protein_coding","CDH11",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000107796.13","protein_coding","ACTA2",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000113083.15","protein_coding","LOX",NA
"IPRES_Hugo","ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE","ENSG00000142173.16","protein_coding","COL6A2",NA
