"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000133321.11","protein_coding","PLAAT4",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000075426.12","protein_coding","FOSL2",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000140285.12","protein_coding","FGF7",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000099250.18","protein_coding","NRP1",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000100311.17","protein_coding","PDGFB",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000158815.11","protein_coding","FGF17",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000163453.11","protein_coding","IGFBP7",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000078401.7","protein_coding","EDN1",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000152661.9","protein_coding","GJA1",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000184481.17","protein_coding","FOXO4",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000154639.19","protein_coding","CXADR",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000114812.13","protein_coding","VIPR1",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000106571.15","protein_coding","GLI3",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000164509.16","protein_coding","IL31RA",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000160862.13","protein_coding","AZGP1",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000144891.19","protein_coding","AGTR1",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000064205.11","protein_coding","CCN5",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000176697.20","protein_coding","BDNF",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000147257.16","protein_coding","GPC3",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000136630.13","protein_coding","HLX",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000106366.9","protein_coding","SERPINE1",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000145431.11","protein_coding","PDGFC",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000157168.20","protein_coding","NRG1",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000138685.17","protein_coding","FGF2",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000105246.6","protein_coding","EBI3",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000146648.20","protein_coding","EGFR",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000154229.12","protein_coding","PRKCA",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000152894.15","protein_coding","PTPRK",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000125384.7","protein_coding","PTGER2",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000101017.15","protein_coding","CD40",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000169047.6","protein_coding","IRS1",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000197646.8","protein_coding","PDCD1LG2",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000123933.17","protein_coding","MXD4",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000134323.12","protein_coding","MYCN",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000136205.17","protein_coding","TNS3",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000150630.4","protein_coding","VEGFC",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000169252.6","protein_coding","ADRB2",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000134917.10","protein_coding","ADAMTS8",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000118971.9","protein_coding","CCND2",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000168539.4","protein_coding","CHRM1",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000117525.14","protein_coding","F3",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000177606.8","protein_coding","JUN",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000137707.14","protein_coding","BTG4",NA
"IPRES_Hugo","DTPP_REG_CELL_PROLIF_UP","ENSG00000030582.18","protein_coding","GRN",NA
