"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000011422.12","protein_coding","PLAUR",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000102144.15","protein_coding","PGK1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000177606.8","protein_coding","JUN",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000112715.26","protein_coding","VEGFA",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000079246.16","protein_coding","XRCC5",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000104237.11","protein_coding","RP1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000100644.17","protein_coding","HIF1A",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000107159.14","protein_coding","CA9",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000119630.14","protein_coding","PGF",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000176171.12","protein_coding","BNIP3",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000067225.20","protein_coding","PKM",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000149925.22","protein_coding","ALDOA",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000104765.16","protein_coding","BNIP3L",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000134107.5","protein_coding","BHLHE40",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000019991.18","protein_coding","HGF",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000160180.17","protein_coding","TFF3",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000074800.16","protein_coding","ENO1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000159399.10","protein_coding","HK2",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000117525.14","protein_coding","F3",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000047457.14","protein_coding","CP",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000118785.15","protein_coding","SPP1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000170345.10","protein_coding","FOS",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000100292.18","protein_coding","HMOX1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000175197.13","protein_coding","DDIT3",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000048052.24","protein_coding","HDAC9",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000147853.17","protein_coding","AK3",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000078401.7","protein_coding","EDN1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000122884.13","protein_coding","P4HA1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000180176.15","protein_coding","TH",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000116016.14","protein_coding","EPAS1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000146674.16","protein_coding","IGFBP3",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000108691.10","protein_coding","CCL2",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000159167.12","protein_coding","STC1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000134333.14","protein_coding","LDHA",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000130635.16","protein_coding","COL5A1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000102755.12","protein_coding","FLT1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000074410.14","protein_coding","CA12",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000100311.17","protein_coding","PDGFB",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000120156.22","protein_coding","TEK",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000167244.22","protein_coding","IGF2",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000073756.13","protein_coding","PTGS2",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000002586.20","protein_coding","CD99",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000002586.20_PAR_Y","protein_coding","CD99",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000136810.13","protein_coding","TXN",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000124762.14","protein_coding","CDKN1A",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000141959.17","protein_coding","PFKL",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000196419.13","protein_coding","XRCC6",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000130066.17","protein_coding","SAT1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000105329.11","protein_coding","TGFB1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000087086.15","protein_coding","FTL",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000072274.13","protein_coding","TFRC",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000157193.18","protein_coding","LRP8",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000169429.12","protein_coding","CXCL8",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000109320.13","protein_coding","NFKB1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000091513.16","protein_coding","TF",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000149591.17","protein_coding","TAGLN",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000138764.15","protein_coding","CCNG2",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000198959.12","protein_coding","TGM2",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000127129.10","protein_coding","EDN2",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000136244.12","protein_coding","IL6",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000100290.3","protein_coding","BIK",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000067057.18","protein_coding","PFKP",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000091879.14","protein_coding","ANGPT2",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000163235.16","protein_coding","TGFA",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000130427.3","protein_coding","EPO",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000117394.24","protein_coding","SLC2A1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000148926.10","protein_coding","ADM",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000026025.16","protein_coding","VIM",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000059804.16","protein_coding","SLC2A3",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000146678.10","protein_coding","IGFBP1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000198910.14","protein_coding","L1CAM",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000111640.15","protein_coding","GAPDH",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000111276.12","protein_coding","CDKN1B",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000240972.2","protein_coding","MIF",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000119699.8","protein_coding","TGFB3",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000115457.10","protein_coding","IGFBP2",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000100823.12","protein_coding","APEX1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000186895.4","protein_coding","FGF3",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000147224.13","protein_coding","PRPS1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000156515.24","protein_coding","HK1",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000137745.13","protein_coding","MMP13",NA
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000138792.10","protein_coding","ENPEP",NA
