"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000006611.17","protein_coding","USH1C",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000175868.14","protein_coding","CALCB",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000108106.14","protein_coding","UBE2S",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000157456.8","protein_coding","CCNB2",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000039068.20","protein_coding","CDH1",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000074181.9","protein_coding","NOTCH3",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000132437.18","protein_coding","DDC",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000172893.18","protein_coding","DHCR7",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000185950.9","protein_coding","IRS2",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000123136.15","protein_coding","DDX39A",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000065361.17","protein_coding","ERBB3",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000137807.16","protein_coding","KIF23",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000228716.7","protein_coding","DHFR",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000131747.15","protein_coding","TOP2A",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000248098.12","protein_coding","BCKDHA",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000116761.12","protein_coding","CTH",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000115163.15","protein_coding","CENPA",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000146648.20","protein_coding","EGFR",NA
"IPRES_Hugo","JEON_SMAD6_TARGETS_DN","ENSG00000138160.7","protein_coding","KIF11",NA
