"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000114115.10","protein_coding","RBP1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000184613.11","protein_coding","NELL2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000147065.17","protein_coding","MSN",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000108244.17","protein_coding","KRT23",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000163453.11","protein_coding","IGFBP7",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000186081.12","protein_coding","KRT5",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000118971.9","protein_coding","CCND2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000131620.18","protein_coding","ANO1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000012660.14","protein_coding","ELOVL5",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000100979.15","protein_coding","PLTP",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000213145.10","protein_coding","CRIP1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000137273.6","protein_coding","FOXF2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000168917.9","protein_coding","SLC35G2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000100867.15","protein_coding","DHRS2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000180644.8","protein_coding","PRF1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000198959.12","protein_coding","TGM2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000148671.14","protein_coding","ADIRF",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000150244.12","protein_coding","TRIM48",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000133083.15","protein_coding","DCLK1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000198910.14","protein_coding","L1CAM",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000137285.11","protein_coding","TUBB2B",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000123689.6","protein_coding","G0S2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000131435.13","protein_coding","PDLIM4",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000188536.13","protein_coding","HBA2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000100453.14","protein_coding","GZMB",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000026025.16","protein_coding","VIM",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000160200.18","protein_coding","CBS",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000205426.11","protein_coding","KRT81",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000171310.11","protein_coding","CHST11",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000269190.6","protein_coding","FBXO17",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000113758.14","protein_coding","DBN1",NA
