"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000148848.15","protein_coding","ADAM12",NA,8038
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000087586.18","protein_coding","AURKA",NA,6790
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000060982.15","protein_coding","BCAT1",NA,586
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000182492.16","protein_coding","BGN",NA,633
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000140937.14","protein_coding","CDH11",NA,1009
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000117724.14","protein_coding","CENPF",NA,1063
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000123975.5","protein_coding","CKS2",NA,1164
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000123500.10","protein_coding","COL10A1",NA,1300
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000060718.22","protein_coding","COL11A1",NA,1301
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000168542.16","protein_coding","COL3A1",NA,1281
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000130635.16","protein_coding","COL5A1",NA,1289
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000204262.14","protein_coding","COL5A2",NA,1290
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000142173.16","protein_coding","COL6A2",NA,1292
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000163359.17","protein_coding","COL6A3",NA,1293
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000143476.18","protein_coding","DTL",NA,51514
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000083782.8","protein_coding","EPYC",NA,1833
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000078098.15","protein_coding","FAP",NA,2191
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000115414.21","protein_coding","FN1",NA,2335
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000166923.12","protein_coding","GREM1",NA,26585
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000211899.10","IG_C_gene","IGHM",NA,NA
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000122641.11","protein_coding","INHBA",NA,3624
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000142945.13","protein_coding","KIF2C",NA,11004
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000134013.16","protein_coding","LOXL2",NA,4017
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000172061.9","protein_coding","LRRC15",NA,131578
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000099953.10","protein_coding","MMP11",NA,4320
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000109805.10","protein_coding","NCAPG",NA,64151
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000087303.19","protein_coding","NID2",NA,22795
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000074590.14","protein_coding","NUAK1",NA,9891
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000171848.16","protein_coding","RRM2",NA,6241
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000141526.18","protein_coding","SLC16A3",NA,9123
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000137573.14","protein_coding","SULF1",NA,23213
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000123610.5","protein_coding","TNFAIP6",NA,7130
"IPRES_Hugo","MAPKi_INDUCED_EMT","ENSG00000038427.16","protein_coding","VCAN",NA,1462
