"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000198873.12","protein_coding","GRK5",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000172215.6","protein_coding","CXCR6",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000104894.12","protein_coding","CD37",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000206075.14","protein_coding","SERPINB5",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000198363.18","protein_coding","ASPH",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000176105.14","protein_coding","YES1",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000100985.7","protein_coding","MMP9",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000138778.14","protein_coding","CENPE",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000108515.18","protein_coding","ENO3",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000138030.13","protein_coding","KHK",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000157869.16","protein_coding","RAB28",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000112559.15","protein_coding","MDFI",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000167779.9","protein_coding","IGFBP6",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000168310.12","protein_coding","IRF2",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000100385.14","protein_coding","IL2RB",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000144668.12","protein_coding","ITGA9",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000239998.7","protein_coding","LILRA2",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000134602.16","protein_coding","STK26",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000198848.13","protein_coding","CES1",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000186204.15","protein_coding","CYP4F12",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000118785.15","protein_coding","SPP1",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000180340.7","protein_coding","FZD2",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000204576.12","protein_coding","PRR3",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000198610.11","protein_coding","AKR1C4",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000070018.9","protein_coding","LRP6",NA
"IPRES_Hugo","YE_METASTATIC_LIVER_CANCER","ENSG00000204084.13","protein_coding","INPP5B",NA
