signature_name,gene_id,gene_type,gene_name,weight
ImmuneScore_Roh,ENSG00000145649.8,protein_coding,GZMA,1
ImmuneScore_Roh,ENSG00000100453.14,protein_coding,GZMB,1
ImmuneScore_Roh,ENSG00000180644.8,protein_coding,PRF1,1
ImmuneScore_Roh,ENSG00000115523.17,protein_coding,GNLY,1
ImmuneScore_Roh,ENSG00000206503.13,protein_coding,HLA-A,1
ImmuneScore_Roh,ENSG00000234745.14,protein_coding,HLA-B,1
ImmuneScore_Roh,ENSG00000204525.18,protein_coding,HLA-C,1
ImmuneScore_Roh,ENSG00000204592.9,protein_coding,HLA-E,1
ImmuneScore_Roh,ENSG00000204642.14,protein_coding,HLA-F,1
ImmuneScore_Roh,ENSG00000204632.13,protein_coding,HLA-G,1
ImmuneScore_Roh,ENSG00000206341.7,unprocessed_pseudogene,HLA-H,1
ImmuneScore_Roh,ENSG00000204257.15,protein_coding,HLA-DMA,1
ImmuneScore_Roh,ENSG00000242574.9,protein_coding,HLA-DMB,1
ImmuneScore_Roh,ENSG00000204252.14,protein_coding,HLA-DOA,1
ImmuneScore_Roh,ENSG00000241106.8,protein_coding,HLA-DOB,1
ImmuneScore_Roh,ENSG00000231389.8,protein_coding,HLA-DPA1,1
ImmuneScore_Roh,ENSG00000223865.11,protein_coding,HLA-DPB1,1
ImmuneScore_Roh,ENSG00000196735.13,protein_coding,HLA-DQA1,1
ImmuneScore_Roh,ENSG00000237541.4,protein_coding,HLA-DQA2,1
ImmuneScore_Roh,ENSG00000179344.17,protein_coding,HLA-DQB1,1
ImmuneScore_Roh,ENSG00000204287.14,protein_coding,HLA-DRA,1
ImmuneScore_Roh,ENSG00000196126.12,protein_coding,HLA-DRB1,1
ImmuneScore_Roh,ENSG00000111537.5,protein_coding,IFNG,1
ImmuneScore_Roh,ENSG00000027697.16,protein_coding,IFNGR1,1
ImmuneScore_Roh,ENSG00000159128.16,protein_coding,IFNGR2,1
ImmuneScore_Roh,ENSG00000125347.15,protein_coding,IRF1,1
ImmuneScore_Roh,ENSG00000115415.20,protein_coding,STAT1,1
ImmuneScore_Roh,ENSG00000240065.8,protein_coding,PSMB9,1
ImmuneScore_Roh,ENSG00000160791.14,protein_coding,CCR5,1
ImmuneScore_Roh,ENSG00000277632.2,protein_coding,CCL3,1
ImmuneScore_Roh,ENSG00000275302.2,protein_coding,CCL4,1
ImmuneScore_Roh,ENSG00000271503.6,protein_coding,CCL5,1
ImmuneScore_Roh,ENSG00000138755.6,protein_coding,CXCL9,1
ImmuneScore_Roh,ENSG00000169245.6,protein_coding,CXCL10,1
ImmuneScore_Roh,ENSG00000169248.13,protein_coding,CXCL11,1
ImmuneScore_Roh,ENSG00000090339.9,protein_coding,ICAM1,1
ImmuneScore_Roh,ENSG00000108622.11,protein_coding,ICAM2,1
ImmuneScore_Roh,ENSG00000076662.10,protein_coding,ICAM3,1
ImmuneScore_Roh,ENSG00000105371.10,protein_coding,ICAM4,1
ImmuneScore_Roh,ENSG00000105376.5,protein_coding,ICAM5,1
ImmuneScore_Roh,ENSG00000162692.12,protein_coding,VCAM1,1
