signature_name,gene_id,gene_type,gene_name,weight
Inflammatory_Thompson,ENSG00000271503.6,protein_coding,CCL5,1
Inflammatory_Thompson,ENSG00000160791.14,protein_coding,CCR5,1
Inflammatory_Thompson,ENSG00000120217.14,protein_coding,CD274,1
Inflammatory_Thompson,ENSG00000167286.11,protein_coding,CD3D,1
Inflammatory_Thompson,ENSG00000198851.10,protein_coding,CD3E,1
Inflammatory_Thompson,ENSG00000153563.16,protein_coding,CD8A,1
Inflammatory_Thompson,ENSG00000179583.21,protein_coding,CIITA,1
Inflammatory_Thompson,ENSG00000163599.18,protein_coding,CTLA4,1
Inflammatory_Thompson,ENSG00000169245.6,protein_coding,CXCL10,1
Inflammatory_Thompson,ENSG00000169248.13,protein_coding,CXCL11,1
Inflammatory_Thompson,ENSG00000156234.8,protein_coding,CXCL13,1
Inflammatory_Thompson,ENSG00000138755.6,protein_coding,CXCL9,1
Inflammatory_Thompson,ENSG00000145649.8,protein_coding,GZMA,1
Inflammatory_Thompson,ENSG00000100453.14,protein_coding,GZMB,1
Inflammatory_Thompson,ENSG00000204287.14,protein_coding,HLA-DRA,1
Inflammatory_Thompson,ENSG00000196126.12,protein_coding,HLA-DRB1,1
Inflammatory_Thompson,ENSG00000204592.9,protein_coding,HLA-E,1
Inflammatory_Thompson,ENSG00000131203.13,protein_coding,IDO1,1
Inflammatory_Thompson,ENSG00000147168.14,protein_coding,IL2RG,1
Inflammatory_Thompson,ENSG00000005844.19,protein_coding,ITGAL,1
Inflammatory_Thompson,ENSG00000089692.9,protein_coding,LAG3,1
Inflammatory_Thompson,ENSG00000105374.10,protein_coding,NKG7,1
Inflammatory_Thompson,ENSG00000188389.11,protein_coding,PDCD1,1
Inflammatory_Thompson,ENSG00000180644.8,protein_coding,PRF1,1
Inflammatory_Thompson,ENSG00000081237.20,protein_coding,PTPRC,1
Inflammatory_Thompson,ENSG00000115415.20,protein_coding,STAT1,1
Inflammatory_Thompson,ENSG00000164691.18,protein_coding,TAGAP,1
