"","signature_name","gene_id","gene_type","gene_name","weight"
"1","LRRC15_CAF","ENSG00000099953.10","protein_coding","MMP11",NA
"2","LRRC15_CAF","ENSG00000060718.22","protein_coding","COL11A1",NA
"3","LRRC15_CAF","ENSG00000082196.21","protein_coding","C1QTNF3",NA
"4","LRRC15_CAF","ENSG00000164932.13","protein_coding","CTHRC1",NA
"5","LRRC15_CAF","ENSG00000111799.22","protein_coding","COL12A1",NA
"6","LRRC15_CAF","ENSG00000123500.10","protein_coding","COL10A1",NA
"7","LRRC15_CAF","ENSG00000204262.14","protein_coding","COL5A2",NA
"8","LRRC15_CAF","ENSG00000186340.17","protein_coding","THBS2",NA
"9","LRRC15_CAF","ENSG00000106624.11","protein_coding","AEBP1",NA
"10","LRRC15_CAF","ENSG00000172061.9","protein_coding","LRRC15",NA
"11","LRRC15_CAF","ENSG00000137809.17","protein_coding","ITGA11",NA
