signature_name,gene_id,gene_type,gene_name,weight
MPS,ENSG00000196139.14,protein_coding,AKR1C3,1
MPS,ENSG00000168487.20,protein_coding,BMP1,1
MPS,ENSG00000095713.14,protein_coding,CRTAC1,1
MPS,ENSG00000171551.12,protein_coding,ECEL1,1
MPS,ENSG00000187672.14,protein_coding,ERC2,1
MPS,ENSG00000184731.6,protein_coding,FAM110C,1
MPS,ENSG00000172461.11,protein_coding,FUT9,1
MPS,ENSG00000151834.16,protein_coding,GABRA2,1
MPS,ENSG00000172020.13,protein_coding,GAP43,1
MPS,ENSG00000166923.12,protein_coding,GREM1,1
MPS,ENSG00000002746.15,protein_coding,HECW1,1
MPS,ENSG00000150361.12,protein_coding,KLHL1,1
MPS,ENSG00000187242.6,protein_coding,KRT12,1
MPS,ENSG00000156959.9,protein_coding,LHFPL4,1
MPS,ENSG00000277586.4,protein_coding,NEFL,1
MPS,ENSG00000104722.14,protein_coding,NEFM,1
MPS,ENSG00000166342.19,protein_coding,NETO1,1
MPS,ENSG00000125820.6,protein_coding,NKX2-2,1
MPS,ENSG00000170091.11,protein_coding,NSG2,1
MPS,ENSG00000145247.12,protein_coding,OCIAD2,1
MPS,ENSG00000163982.6,protein_coding,OTOP1,1
MPS,ENSG00000152270.9,protein_coding,PDE3B,1
MPS,ENSG00000155093.19,protein_coding,PTPRN2,1
MPS,ENSG00000196090.13,protein_coding,PTPRT,1
MPS,ENSG00000197046.12,protein_coding,SIGLEC15,1
MPS,ENSG00000141485.17,protein_coding,SLC13A5,1
MPS,ENSG00000115616.3,protein_coding,SLC9A2,1
MPS,ENSG00000184564.11,protein_coding,SLITRK6,1
MPS,ENSG00000065609.15,protein_coding,SNAP91,1
MPS,ENSG00000140022.14,protein_coding,STON2,1
MPS,ENSG00000006128.12,protein_coding,TAC1,1
MPS,ENSG00000171724.3,protein_coding,VAT1L,1
MPS,ENSG00000114251.15,protein_coding,WNT5A,1
MPS,ENSG00000180318.4,protein_coding,ALX1,-1
MPS,ENSG00000166164.16,protein_coding,BRD7,-1
MPS,ENSG00000125821.13,protein_coding,DTD1,-1
MPS,ENSG00000132463.15,protein_coding,GRSF1,-1
MPS,ENSG00000164588.8,protein_coding,HCN1,-1
MPS,ENSG00000111144.10,protein_coding,LTA4H,-1
MPS,ENSG00000083720.13,protein_coding,OXCT1,-1
MPS,ENSG00000132849.22,protein_coding,PATJ,-1
MPS,ENSG00000136040.9,protein_coding,PLXNC1,-1
MPS,ENSG00000130511.16,protein_coding,SSBP4,-1
MPS,ENSG00000100726.15,protein_coding,TELO2,-1
MPS,ENSG00000144120.13,protein_coding,TMEM177,-1
