"","signature_name","gene_id","gene_type","gene_name","weight"
"1","NonResponse_Ivy","ENSG00000165501.17","protein_coding","LRR1",NA
"2","NonResponse_Ivy","ENSG00000138326.21","protein_coding","RPS24",NA
"3","NonResponse_Ivy","ENSG00000120539.15","protein_coding","MASTL",NA
"4","NonResponse_Ivy","ENSG00000213551.7","protein_coding","DNAJC9",NA
"5","NonResponse_Ivy","ENSG00000198015.14","protein_coding","MRPL42",NA
"6","NonResponse_Ivy","ENSG00000146670.10","protein_coding","CDCA5",NA
"7","NonResponse_Ivy",NA,NA,"C1orf135",NA
"8","NonResponse_Ivy","ENSG00000101447.15","protein_coding","FAM83D",NA
"9","NonResponse_Ivy","ENSG00000165304.8","protein_coding","MELK",NA
"10","NonResponse_Ivy","ENSG00000126787.13","protein_coding","DLGAP5",NA
"11","NonResponse_Ivy","ENSG00000048162.22","protein_coding","NOP16",NA
"12","NonResponse_Ivy","ENSG00000139343.11","protein_coding","SNRPF",NA
"13","NonResponse_Ivy",NA,NA,"THOC4",NA
"14","NonResponse_Ivy","ENSG00000171848.16","protein_coding","RRM2",NA
"15","NonResponse_Ivy",NA,NA,"CCDC99",NA
"16","NonResponse_Ivy",NA,NA,"C13orf34",NA
"17","NonResponse_Ivy","ENSG00000143179.16","protein_coding","UCK2",NA
"18","NonResponse_Ivy","ENSG00000145194.19","protein_coding","ECE2",NA
"19","NonResponse_Ivy","ENSG00000203760.9","protein_coding","CENPW",NA
"20","NonResponse_Ivy","ENSG00000123975.5","protein_coding","CKS2",NA
"21","NonResponse_Ivy","ENSG00000116062.18","protein_coding","MSH6",NA
"22","NonResponse_Ivy","ENSG00000164109.14","protein_coding","MAD2L1",NA
"23","NonResponse_Ivy",NA,NA,"C12orf48",NA
"24","NonResponse_Ivy","ENSG00000159147.18","protein_coding","DONSON",NA
"25","NonResponse_Ivy","ENSG00000111206.13","protein_coding","FOXM1",NA
"26","NonResponse_Ivy","ENSG00000112984.12","protein_coding","KIF20A",NA
"27","NonResponse_Ivy","ENSG00000080986.13","protein_coding","NDC80",NA
"28","NonResponse_Ivy","ENSG00000170312.17","protein_coding","CDK1",NA
"29","NonResponse_Ivy","ENSG00000161016.18","protein_coding","RPL8",NA
"30","NonResponse_Ivy","ENSG00000121957.15","protein_coding","GPSM2",NA
"31","NonResponse_Ivy","ENSG00000152253.9","protein_coding","SPC25",NA
"32","NonResponse_Ivy","ENSG00000107937.19","protein_coding","GTPBP4",NA
"33","NonResponse_Ivy","ENSG00000215784.6","protein_coding","FAM72D",NA
"34","NonResponse_Ivy","ENSG00000138160.7","protein_coding","KIF11",NA
"35","NonResponse_Ivy","ENSG00000113460.13","protein_coding","BRIX1",NA
"36","NonResponse_Ivy","ENSG00000100479.13","protein_coding","POLE2",NA
"37","NonResponse_Ivy","ENSG00000089685.15","protein_coding","BIRC5",NA
"38","NonResponse_Ivy","ENSG00000105185.12","protein_coding","PDCD5",NA
"39","NonResponse_Ivy",NA,NA,"C6orf129",NA
"40","NonResponse_Ivy","ENSG00000156802.13","protein_coding","ATAD2",NA
"41","NonResponse_Ivy","ENSG00000090889.12","protein_coding","KIF4A",NA
"42","NonResponse_Ivy",NA,NA,"CTSL2",NA
"43","NonResponse_Ivy","ENSG00000109805.10","protein_coding","NCAPG",NA
"44","NonResponse_Ivy","ENSG00000155561.15","protein_coding","NUP205",NA
"45","NonResponse_Ivy","ENSG00000166508.18","protein_coding","MCM7",NA
"46","NonResponse_Ivy","ENSG00000165609.13","protein_coding","NUDT5",NA
"47","NonResponse_Ivy","ENSG00000142945.13","protein_coding","KIF2C",NA
"48","NonResponse_Ivy","ENSG00000117399.14","protein_coding","CDC20",NA
"49","NonResponse_Ivy","ENSG00000137804.14","protein_coding","NUSAP1",NA
"50","NonResponse_Ivy","ENSG00000167088.11","protein_coding","SNRPD1",NA
"51","NonResponse_Ivy","ENSG00000164611.13","protein_coding","PTTG1",NA
"52","NonResponse_Ivy",NA,NA,"MGC72080",NA
"53","NonResponse_Ivy","ENSG00000277462.2","protein_coding","ZNF670",NA
"54","NonResponse_Ivy","ENSG00000174371.17","protein_coding","EXO1",NA
"55","NonResponse_Ivy","ENSG00000133119.13","protein_coding","RFC3",NA
"56","NonResponse_Ivy","ENSG00000239672.8","protein_coding","NME1",NA
"57","NonResponse_Ivy","ENSG00000146918.20","protein_coding","NCAPG2",NA
"58","NonResponse_Ivy","ENSG00000109674.4","protein_coding","NEIL3",NA
"59","NonResponse_Ivy","ENSG00000085999.13","protein_coding","RAD54L",NA
"60","NonResponse_Ivy","ENSG00000143228.13","protein_coding","NUF2",NA
"61","NonResponse_Ivy","ENSG00000169679.15","protein_coding","BUB1",NA
