signature_name,gene_id,gene_type,gene_name,weight
PTEN-MITF_Cabrita,ENSG00000139626.16,protein_coding,ITGB7,NA
PTEN-MITF_Cabrita,ENSG00000105369.10,protein_coding,CD79A,NA
PTEN-MITF_Cabrita,ENSG00000173334.4,protein_coding,TRIB1,NA
PTEN-MITF_Cabrita,ENSG00000169245.6,protein_coding,CXCL10,NA
PTEN-MITF_Cabrita,ENSG00000204525.18,protein_coding,HLA-C,NA
PTEN-MITF_Cabrita,ENSG00000115956.10,protein_coding,PLEK,NA
PTEN-MITF_Cabrita,ENSG00000137575.12,protein_coding,SDCBP,NA
PTEN-MITF_Cabrita,ENSG00000112303.14,protein_coding,VNN2,NA
PTEN-MITF_Cabrita,ENSG00000160213.9,protein_coding,CSTB,NA
PTEN-MITF_Cabrita,ENSG00000153563.16,protein_coding,CD8A,NA
PTEN-MITF_Cabrita,ENSG00000152766.6,protein_coding,ANKRD22,NA
PTEN-MITF_Cabrita,ENSG00000169442.9,protein_coding,CD52,NA
PTEN-MITF_Cabrita,ENSG00000158517.16,protein_coding,NCF1,NA
PTEN-MITF_Cabrita,ENSG00000123095.6,protein_coding,BHLHE41,NA
PTEN-MITF_Cabrita,ENSG00000087076.9,protein_coding,HSD17B14,NA
PTEN-MITF_Cabrita,ENSG00000178685.14,protein_coding,PARP10,NA
PTEN-MITF_Cabrita,ENSG00000182240.16,protein_coding,BACE2,NA
PTEN-MITF_Cabrita,ENSG00000140968.12,protein_coding,IRF8,NA
PTEN-MITF_Cabrita,ENSG00000137198.10,protein_coding,GMPR,NA
PTEN-MITF_Cabrita,ENSG00000183696.14,protein_coding,UPP1,NA
PTEN-MITF_Cabrita,ENSG00000023445.16,protein_coding,BIRC3,NA
PTEN-MITF_Cabrita,ENSG00000165996.14,protein_coding,HACD1,NA
PTEN-MITF_Cabrita,ENSG00000143842.15,protein_coding,SOX13,NA
PTEN-MITF_Cabrita,ENSG00000114547.10,protein_coding,ROPN1B,NA
PTEN-MITF_Cabrita,ENSG00000145979.18,protein_coding,TBC1D7,NA
PTEN-MITF_Cabrita,ENSG00000271503.6,protein_coding,CCL5,NA
PTEN-MITF_Cabrita,ENSG00000145335.17,protein_coding,SNCA,NA
PTEN-MITF_Cabrita,ENSG00000140379.9,protein_coding,BCL2A1,NA
PTEN-MITF_Cabrita,ENSG00000110911.17,protein_coding,SLC11A2,NA
PTEN-MITF_Cabrita,ENSG00000131401.12,transcribed_unprocessed_pseudogene,NAPSB,NA
PTEN-MITF_Cabrita,ENSG00000103495.15,protein_coding,MAZ,NA
PTEN-MITF_Cabrita,ENSG00000172183.16,protein_coding,ISG20,NA
PTEN-MITF_Cabrita,ENSG00000159069.14,protein_coding,FBXW5,NA
PTEN-MITF_Cabrita,ENSG00000231925.13,protein_coding,TAPBP,NA
PTEN-MITF_Cabrita,ENSG00000118508.5,protein_coding,RAB32,NA
PTEN-MITF_Cabrita,ENSG00000109452.13,protein_coding,INPP4B,NA
PTEN-MITF_Cabrita,ENSG00000133789.15,protein_coding,SWAP70,NA
PTEN-MITF_Cabrita,ENSG00000135596.18,protein_coding,MICAL1,NA
PTEN-MITF_Cabrita,ENSG00000043143.22,protein_coding,JADE2,NA
PTEN-MITF_Cabrita,ENSG00000101197.13,protein_coding,BIRC7,NA
PTEN-MITF_Cabrita,ENSG00000156587.16,protein_coding,UBE2L6,NA
PTEN-MITF_Cabrita,ENSG00000133321.11,protein_coding,PLAAT4,NA
PTEN-MITF_Cabrita,ENSG00000254087.8,protein_coding,LYN,NA
PTEN-MITF_Cabrita,ENSG00000176998.4,unprocessed_pseudogene,HCG4,NA
PTEN-MITF_Cabrita,ENSG00000104518.11,protein_coding,GSDMD,NA
PTEN-MITF_Cabrita,ENSG00000128340.15,protein_coding,RAC2,NA
PTEN-MITF_Cabrita,ENSG00000109062.12,protein_coding,SLC9A3R1,NA
PTEN-MITF_Cabrita,ENSG00000020633.19,protein_coding,RUNX3,NA
PTEN-MITF_Cabrita,ENSG00000154511.12,protein_coding,DIPK1A,NA
PTEN-MITF_Cabrita,ENSG00000132185.18,protein_coding,FCRLA,NA
PTEN-MITF_Cabrita,ENSG00000064225.13,protein_coding,ST3GAL6,NA
PTEN-MITF_Cabrita,ENSG00000125347.15,protein_coding,IRF1,NA
PTEN-MITF_Cabrita,ENSG00000134463.15,protein_coding,ECHDC3,NA
PTEN-MITF_Cabrita,ENSG00000004468.13,protein_coding,CD38,NA
PTEN-MITF_Cabrita,ENSG00000185187.13,protein_coding,SIGIRR,NA
PTEN-MITF_Cabrita,ENSG00000065371.18,protein_coding,ROPN1,NA
PTEN-MITF_Cabrita,ENSG00000082074.19,protein_coding,FYB1,NA
PTEN-MITF_Cabrita,ENSG00000086300.16,protein_coding,SNX10,NA
PTEN-MITF_Cabrita,ENSG00000126264.10,protein_coding,HCST,NA
PTEN-MITF_Cabrita,ENSG00000138646.9,protein_coding,HERC5,NA
PTEN-MITF_Cabrita,ENSG00000111335.14,protein_coding,OAS2,NA
PTEN-MITF_Cabrita,ENSG00000153898.13,protein_coding,MCOLN2,NA
PTEN-MITF_Cabrita,ENSG00000130203.10,protein_coding,APOE,NA
PTEN-MITF_Cabrita,ENSG00000115267.9,protein_coding,IFIH1,NA
PTEN-MITF_Cabrita,ENSG00000130066.17,protein_coding,SAT1,NA
PTEN-MITF_Cabrita,ENSG00000123892.12,protein_coding,RAB38,NA
PTEN-MITF_Cabrita,ENSG00000007312.13,protein_coding,CD79B,NA
PTEN-MITF_Cabrita,ENSG00000112096.19,protein_coding,SOD2,NA
PTEN-MITF_Cabrita,ENSG00000111670.16,protein_coding,GNPTAB,NA
PTEN-MITF_Cabrita,ENSG00000240065.8,protein_coding,PSMB9,NA
PTEN-MITF_Cabrita,ENSG00000146859.6,protein_coding,TMEM140,NA
