signature_name,gene_id,gene_type,gene_name,weight
PTEN_MITF,ENSG00000139626.16,protein_coding,ITGB7,-1
PTEN_MITF,ENSG00000105369.10,protein_coding,CD79A,-1
PTEN_MITF,ENSG00000173334.4,protein_coding,TRIB1,-1
PTEN_MITF,ENSG00000169245.6,protein_coding,CXCL10,-1
PTEN_MITF,ENSG00000204525.18,protein_coding,HLA-C,-1
PTEN_MITF,ENSG00000115956.10,protein_coding,PLEK,-1
PTEN_MITF,ENSG00000137575.12,protein_coding,SDCBP,-1
PTEN_MITF,ENSG00000112303.14,protein_coding,VNN2,-1
PTEN_MITF,ENSG00000160213.9,protein_coding,CSTB,-1
PTEN_MITF,ENSG00000153563.16,protein_coding,CD8A,-1
PTEN_MITF,ENSG00000152766.6,protein_coding,ANKRD22,-1
PTEN_MITF,ENSG00000169442.9,protein_coding,CD52,-1
PTEN_MITF,ENSG00000158517.16,protein_coding,NCF1,-1
PTEN_MITF,NA,NA,BHLHB3,-1
PTEN_MITF,ENSG00000087076.9,protein_coding,HSD17B14,-1
PTEN_MITF,ENSG00000178685.14,protein_coding,PARP10,-1
PTEN_MITF,ENSG00000182240.16,protein_coding,BACE2,-1
PTEN_MITF,ENSG00000140968.12,protein_coding,IRF8,-1
PTEN_MITF,ENSG00000137198.10,protein_coding,GMPR,-1
PTEN_MITF,ENSG00000183696.14,protein_coding,UPP1,-1
PTEN_MITF,ENSG00000023445.16,protein_coding,BIRC3,-1
PTEN_MITF,NA,NA,PTPLA,-1
PTEN_MITF,ENSG00000143842.15,protein_coding,SOX13,-1
PTEN_MITF,ENSG00000114547.10,protein_coding,ROPN1B,-1
PTEN_MITF,ENSG00000145979.18,protein_coding,TBC1D7,-1
PTEN_MITF,ENSG00000271503.6,protein_coding,CCL5,-1
PTEN_MITF,ENSG00000145335.17,protein_coding,SNCA,-1
PTEN_MITF,ENSG00000140379.9,protein_coding,BCL2A1,-1
PTEN_MITF,ENSG00000110911.17,protein_coding,SLC11A2,-1
PTEN_MITF,ENSG00000131401.12,transcribed_unprocessed_pseudogene,NAPSB,-1
PTEN_MITF,ENSG00000103495.15,protein_coding,MAZ,-1
PTEN_MITF,ENSG00000172183.16,protein_coding,ISG20,-1
PTEN_MITF,ENSG00000159069.14,protein_coding,FBXW5,-1
PTEN_MITF,ENSG00000231925.13,protein_coding,TAPBP,-1
PTEN_MITF,ENSG00000118508.5,protein_coding,RAB32,-1
PTEN_MITF,ENSG00000109452.13,protein_coding,INPP4B,-1
PTEN_MITF,ENSG00000133789.15,protein_coding,SWAP70,-1
PTEN_MITF,ENSG00000135596.18,protein_coding,MICAL1,-1
PTEN_MITF,NA,NA,PHF15,-1
PTEN_MITF,ENSG00000101197.13,protein_coding,BIRC7,-1
PTEN_MITF,ENSG00000156587.16,protein_coding,UBE2L6,-1
PTEN_MITF,NA,NA,RARRES3,-1
PTEN_MITF,ENSG00000254087.8,protein_coding,LYN,-1
PTEN_MITF,ENSG00000176998.4,unprocessed_pseudogene,HCG4,-1
PTEN_MITF,ENSG00000104518.11,protein_coding,GSDMD,-1
PTEN_MITF,ENSG00000128340.15,protein_coding,RAC2,-1
PTEN_MITF,ENSG00000109062.12,protein_coding,SLC9A3R1,-1
PTEN_MITF,ENSG00000020633.19,protein_coding,RUNX3,-1
PTEN_MITF,NA,NA,FAM69A,-1
PTEN_MITF,ENSG00000132185.18,protein_coding,FCRLA,-1
PTEN_MITF,ENSG00000064225.13,protein_coding,ST3GAL6,-1
PTEN_MITF,ENSG00000125347.15,protein_coding,IRF1,-1
PTEN_MITF,ENSG00000134463.15,protein_coding,ECHDC3,-1
PTEN_MITF,ENSG00000004468.13,protein_coding,CD38,-1
PTEN_MITF,ENSG00000185187.13,protein_coding,SIGIRR,-1
PTEN_MITF,ENSG00000065371.18,protein_coding,ROPN1,-1
PTEN_MITF,NA,NA,FYB,-1
PTEN_MITF,ENSG00000086300.16,protein_coding,SNX10,-1
PTEN_MITF,ENSG00000126264.10,protein_coding,HCST,-1
PTEN_MITF,ENSG00000138646.9,protein_coding,HERC5,-1
PTEN_MITF,ENSG00000111335.14,protein_coding,OAS2,-1
PTEN_MITF,ENSG00000153898.13,protein_coding,MCOLN2,-1
PTEN_MITF,ENSG00000130203.10,protein_coding,APOE,-1
PTEN_MITF,ENSG00000115267.9,protein_coding,IFIH1,-1
PTEN_MITF,ENSG00000130066.17,protein_coding,SAT1,-1
PTEN_MITF,ENSG00000123892.12,protein_coding,RAB38,-1
PTEN_MITF,ENSG00000007312.13,protein_coding,CD79B,-1
PTEN_MITF,ENSG00000112096.19,protein_coding,SOD2,-1
PTEN_MITF,ENSG00000111670.16,protein_coding,GNPTAB,-1
PTEN_MITF,ENSG00000240065.8,protein_coding,PSMB9,-1
PTEN_MITF,ENSG00000146859.6,protein_coding,TMEM140,-1
PTEN_MITF,ENSG00000100453.14,protein_coding,GZMB,-1
PTEN_MITF,ENSG00000107521.20,protein_coding,HPS1,-1
PTEN_MITF,ENSG00000100784.12,protein_coding,RPS6KA5,-1
PTEN_MITF,ENSG00000151690.15,protein_coding,MFSD6,-1
PTEN_MITF,NA,NA,PRKCB1,-1
PTEN_MITF,ENSG00000115828.17,protein_coding,QPCT,-1
PTEN_MITF,ENSG00000165949.13,protein_coding,IFI27,-1
PTEN_MITF,ENSG00000148908.15,protein_coding,RGS10,-1
PTEN_MITF,ENSG00000148834.13,protein_coding,GSTO1,-1
PTEN_MITF,ENSG00000138755.6,protein_coding,CXCL9,-1
PTEN_MITF,ENSG00000105374.10,protein_coding,NKG7,-1
PTEN_MITF,ENSG00000136040.9,protein_coding,PLXNC1,-1
PTEN_MITF,ENSG00000069974.16,protein_coding,RAB27A,-1
PTEN_MITF,ENSG00000114166.8,protein_coding,KAT2B,-1
PTEN_MITF,ENSG00000164175.15,protein_coding,SLC45A2,-1
PTEN_MITF,ENSG00000134028.14,protein_coding,ADAMDEC1,-1
PTEN_MITF,ENSG00000181061.14,protein_coding,HIGD1A,-1
PTEN_MITF,ENSG00000137496.18,protein_coding,IL18BP,-1
PTEN_MITF,ENSG00000136235.17,protein_coding,GPNMB,-1
PTEN_MITF,ENSG00000112137.19,protein_coding,PHACTR1,-1
PTEN_MITF,ENSG00000167286.11,protein_coding,CD3D,-1
PTEN_MITF,NA,NA,FAM65B,-1
PTEN_MITF,ENSG00000154451.15,protein_coding,GBP5,-1
PTEN_MITF,ENSG00000138496.17,protein_coding,PARP9,-1
PTEN_MITF,ENSG00000234745.14,protein_coding,HLA-B,-1
PTEN_MITF,NA,NA,LOC390557,-1
PTEN_MITF,ENSG00000117091.10,protein_coding,CD48,-1
PTEN_MITF,ENSG00000206337.12,lncRNA,HCP5,-1
PTEN_MITF,ENSG00000204642.14,protein_coding,HLA-F,-1
PTEN_MITF,ENSG00000158022.7,protein_coding,TRIM63,-1
PTEN_MITF,ENSG00000144837.9,protein_coding,PLA1A,-1
PTEN_MITF,ENSG00000156521.14,protein_coding,TYSND1,-1
PTEN_MITF,ENSG00000156234.8,protein_coding,CXCL13,-1
PTEN_MITF,NA,NA,MGC13057,-1
PTEN_MITF,ENSG00000134508.13,protein_coding,CABLES1,-1
PTEN_MITF,ENSG00000055732.13,protein_coding,MCOLN3,-1
PTEN_MITF,ENSG00000135116.9,protein_coding,HRK,-1
PTEN_MITF,ENSG00000081087.15,protein_coding,OSTM1,-1
PTEN_MITF,ENSG00000102048.16,protein_coding,ASB9,-1
PTEN_MITF,NA,NA,FAIM3,-1
PTEN_MITF,ENSG00000108828.16,protein_coding,VAT1,-1
PTEN_MITF,ENSG00000144746.7,protein_coding,ARL6IP5,-1
PTEN_MITF,ENSG00000160678.12,protein_coding,S100A1,-1
PTEN_MITF,ENSG00000056998.20,protein_coding,GYG2,-1
PTEN_MITF,ENSG00000154589.7,protein_coding,LY96,-1
PTEN_MITF,ENSG00000026508.21,protein_coding,CD44,-1
PTEN_MITF,ENSG00000204592.9,protein_coding,HLA-E,-1
PTEN_MITF,ENSG00000116663.11,protein_coding,FBXO6,-1
PTEN_MITF,ENSG00000204632.13,protein_coding,HLA-G,-1
PTEN_MITF,ENSG00000187098.18,protein_coding,MITF,-1
PTEN_MITF,ENSG00000136514.3,protein_coding,RTP4,-1
PTEN_MITF,ENSG00000021355.13,protein_coding,SERPINB1,-1
PTEN_MITF,ENSG00000159231.6,protein_coding,CBR3,-1
PTEN_MITF,ENSG00000070731.11,protein_coding,ST6GALNAC2,-1
PTEN_MITF,ENSG00000197535.16,protein_coding,MYO5A,-1
PTEN_MITF,ENSG00000204264.12,protein_coding,PSMB8,-1
PTEN_MITF,ENSG00000163932.15,protein_coding,PRKCD,-1
PTEN_MITF,ENSG00000079385.23,protein_coding,CEACAM1,-1
PTEN_MITF,ENSG00000137265.16,protein_coding,IRF4,-1
PTEN_MITF,ENSG00000068079.8,protein_coding,IFI35,-1
PTEN_MITF,ENSG00000079950.14,protein_coding,STX7,-1
PTEN_MITF,ENSG00000187688.15,protein_coding,TRPV2,-1
PTEN_MITF,ENSG00000159685.11,protein_coding,CHCHD6,-1
PTEN_MITF,ENSG00000137752.25,protein_coding,CASP1,-1
PTEN_MITF,ENSG00000115415.20,protein_coding,STAT1,-1
PTEN_MITF,ENSG00000089041.17,protein_coding,P2RX7,-1
PTEN_MITF,ENSG00000143669.15,protein_coding,LYST,-1
PTEN_MITF,ENSG00000092529.25,protein_coding,CAPN3,-1
PTEN_MITF,ENSG00000197971.16,protein_coding,MBP,-1
PTEN_MITF,ENSG00000087842.11,protein_coding,PIR,-1
PTEN_MITF,ENSG00000168394.12,protein_coding,TAP1,-1
PTEN_MITF,ENSG00000131981.16,protein_coding,LGALS3,-1
PTEN_MITF,ENSG00000157873.18,protein_coding,TNFRSF14,-1
PTEN_MITF,NA,NA,WARS,-1
PTEN_MITF,NA,NA,GPR56,-1
PTEN_MITF,ENSG00000213886.4,protein_coding,UBD,-1
PTEN_MITF,ENSG00000102032.13,protein_coding,RENBP,-1
PTEN_MITF,NA,NA,D4S234E,-1
PTEN_MITF,ENSG00000077498.9,protein_coding,TYR,-1
PTEN_MITF,NA,NA,SILV,-1
PTEN_MITF,ENSG00000120215.10,protein_coding,MLANA,-1
PTEN_MITF,ENSG00000182985.18,protein_coding,CADM1,1
PTEN_MITF,ENSG00000197380.11,protein_coding,DACT3,1
PTEN_MITF,ENSG00000145147.20,protein_coding,SLIT2,1
PTEN_MITF,ENSG00000189184.12,protein_coding,PCDH18,1
