"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000138115.15","protein_coding","CYP2C8",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000196139.14","protein_coding","AKR1C3",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000140284.11","protein_coding","SLC27A2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000179593.16","protein_coding","ALOX15B",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000165591.7","protein_coding","FAAH2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000180432.6","protein_coding","CYP8B1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000116171.19","protein_coding","SCP2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000168306.13","protein_coding","ACOX2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000157184.7","protein_coding","CPT2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000187048.14","protein_coding","CYP4A11",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000060971.19","protein_coding","ACAA1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000122971.9","protein_coding","ACADS",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000095321.18","protein_coding","CRAT",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000117480.16","protein_coding","FAAH",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000171903.17","protein_coding","CYP4F11",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000111144.10","protein_coding","LTA4H",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000012779.12","protein_coding","ALOX5",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000127884.5","protein_coding","ECHS1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000167315.18","protein_coding","ACAA2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000107537.14","protein_coding","PHYH",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000106617.15","protein_coding","PRKAG2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000138109.11","protein_coding","CYP2C9",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000117054.15","protein_coding","ACADM",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000095303.17","protein_coding","PTGS1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000099998.19","protein_coding","GGT5",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000167261.14","protein_coding","DPEP2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000197142.11","protein_coding","ACSL5",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000165841.11","protein_coding","CYP2C19",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000178537.10","protein_coding","SLC25A20",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000124370.11","protein_coding","MCEE",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000116882.15","protein_coding","HAO2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000176153.13","protein_coding","GPX2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000186115.13","protein_coding","CYP4F2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000233276.8","protein_coding","GPX1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000172497.9","protein_coding","ACOT12",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000110090.13","protein_coding","CPT1A",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000115361.8","protein_coding","ACADL",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000113790.11","protein_coding","EHHADH",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000119673.16","protein_coding","ACOT2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000059377.18","protein_coding","TBXAS1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000005421.9","protein_coding","PON1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000186350.12","protein_coding","RXRA",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000151611.17","protein_coding","MMAA",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000107317.13","protein_coding","PTGDS",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000115425.14","protein_coding","PECR",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000106853.20","protein_coding","PTGR1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000133835.18","protein_coding","HSD17B4",NA
