"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000231389.8","protein_coding","HLA-DPA1",NA,3113
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000197943.11","protein_coding","PLCG2",NA,5336
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000223865.11","protein_coding","HLA-DPB1",NA,3115
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000196735.13","protein_coding","HLA-DQA1",NA,NA
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000204287.14","protein_coding","HLA-DRA",NA,3122
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000213658.13","protein_coding","LAT",NA,27040
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000198502.6","protein_coding","HLA-DRB5",NA,3127
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000015285.11","protein_coding","WAS",NA,7454
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000179344.17","protein_coding","HLA-DQB1",NA,3119
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000125753.14","protein_coding","VASP",NA,7408
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000232629.9","protein_coding","HLA-DQB2",NA,3120
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000196405.13","protein_coding","EVL",NA,51466
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000196126.12","protein_coding","HLA-DRB1",NA,3123
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000237541.4","protein_coding","HLA-DQA2",NA,3117
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000134256.13","protein_coding","CD101",NA,9398
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000198851.10","protein_coding","CD3E",NA,916
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000182866.17","protein_coding","LCK",NA,3932
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000113263.13","protein_coding","ITK",NA,3702
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000167286.11","protein_coding","CD3D",NA,915
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000160654.11","protein_coding","CD3G",NA,917
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000010610.10","protein_coding","CD4",NA,920
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000043462.13","protein_coding","LCP2",NA,3937
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000198821.11","protein_coding","CD247",NA,919
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000115085.14","protein_coding","ZAP70",NA,7535
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000082074.19","protein_coding","FYB1",NA,2533
"PassON_Du","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","ENSG00000100351.17","protein_coding","GRAP2",NA,9402
