"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000231389.8","protein_coding","HLA-DPA1",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000223865.11","protein_coding","HLA-DPB1",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000196735.13","protein_coding","HLA-DQA1",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000204287.14","protein_coding","HLA-DRA",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000198502.6","protein_coding","HLA-DRB5",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000179344.17","protein_coding","HLA-DQB1",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000232629.9","protein_coding","HLA-DQB2",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000196126.12","protein_coding","HLA-DRB1",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000237541.4","protein_coding","HLA-DQA2",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000198851.10","protein_coding","CD3E",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000182866.17","protein_coding","LCK",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000103653.17","protein_coding","CSK",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000167286.11","protein_coding","CD3D",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000160654.11","protein_coding","CD3G",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000188389.11","protein_coding","PDCD1",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000010610.10","protein_coding","CD4",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000120217.14","protein_coding","CD274",NA
"PassON_Du","REACTOME_PD_1_SIGNALING","ENSG00000198821.11","protein_coding","CD247",NA
