signature_name,gene_id,gene_type,gene_name,weight
PredictIO_Bareche,ENSG00000183386.10,protein_coding,FHL3,resistance
PredictIO_Bareche,ENSG00000179431.7,protein_coding,FJX1,resistance
PredictIO_Bareche,ENSG00000138639.18,protein_coding,ARHGAP24,resistance
PredictIO_Bareche,ENSG00000163032.12,protein_coding,VSNL1,resistance
PredictIO_Bareche,ENSG00000168575.10,protein_coding,SLC20A2,resistance
PredictIO_Bareche,ENSG00000109846.9,protein_coding,CRYAB,resistance
PredictIO_Bareche,ENSG00000187260.16,protein_coding,WDR86,resistance
PredictIO_Bareche,ENSG00000136161.13,protein_coding,RCBTB2,resistance
PredictIO_Bareche,ENSG00000133710.16,protein_coding,SPINK5,resistance
PredictIO_Bareche,ENSG00000100320.24,protein_coding,RBFOX2,resistance
PredictIO_Bareche,ENSG00000132535.22,protein_coding,DLG4,resistance
PredictIO_Bareche,ENSG00000197461.13,protein_coding,PDGFA,resistance
PredictIO_Bareche,ENSG00000174306.22,protein_coding,ZHX3,resistance
PredictIO_Bareche,ENSG00000136542.9,protein_coding,GALNT5,resistance
PredictIO_Bareche,ENSG00000253305.3,protein_coding,PCDHGB6,resistance
PredictIO_Bareche,ENSG00000172139.15,protein_coding,SLC9C1,resistance
PredictIO_Bareche,ENSG00000227051.7,protein_coding,C14orf132,resistance
PredictIO_Bareche,ENSG00000164675.11,protein_coding,IQUB,resistance
PredictIO_Bareche,ENSG00000184985.16,protein_coding,SORCS2,resistance
PredictIO_Bareche,ENSG00000104267.10,protein_coding,CA2,resistance
PredictIO_Bareche,ENSG00000164251.5,protein_coding,F2RL1,resistance
PredictIO_Bareche,ENSG00000198121.15,protein_coding,LPAR1,resistance
PredictIO_Bareche,ENSG00000125398.8,protein_coding,SOX9,resistance
PredictIO_Bareche,ENSG00000117215.15,protein_coding,PLA2G2D,sensitive
PredictIO_Bareche,ENSG00000073861.3,protein_coding,TBX21,sensitive
PredictIO_Bareche,ENSG00000026751.17,protein_coding,SLAMF7,sensitive
PredictIO_Bareche,ENSG00000154767.15,protein_coding,XPC,sensitive
PredictIO_Bareche,ENSG00000138755.6,protein_coding,CXCL9,sensitive
PredictIO_Bareche,ENSG00000166710.23,protein_coding,B2M,sensitive
PredictIO_Bareche,ENSG00000116663.11,protein_coding,FBXO6,sensitive
PredictIO_Bareche,ENSG00000169245.6,protein_coding,CXCL10,sensitive
PredictIO_Bareche,ENSG00000213402.3,protein_coding,PTPRCAP,sensitive
PredictIO_Bareche,ENSG00000117560.8,protein_coding,FASLG,sensitive
PredictIO_Bareche,ENSG00000161405.17,protein_coding,IKZF3,sensitive
PredictIO_Bareche,ENSG00000176928.7,protein_coding,GCNT4,sensitive
PredictIO_Bareche,ENSG00000163508.13,protein_coding,EOMES,sensitive
PredictIO_Bareche,ENSG00000153563.16,protein_coding,CD8A,sensitive
PredictIO_Bareche,ENSG00000221963.6,protein_coding,APOL6,sensitive
PredictIO_Bareche,ENSG00000196730.13,protein_coding,DAPK1,sensitive
PredictIO_Bareche,ENSG00000169248.13,protein_coding,CXCL11,sensitive
PredictIO_Bareche,ENSG00000105374.10,protein_coding,NKG7,sensitive
PredictIO_Bareche,ENSG00000152969.20,protein_coding,JAKMIP1,sensitive
PredictIO_Bareche,ENSG00000159023.22,protein_coding,EPB41,sensitive
PredictIO_Bareche,ENSG00000156234.8,protein_coding,CXCL13,sensitive
PredictIO_Bareche,ENSG00000013374.17,protein_coding,NUB1,sensitive
PredictIO_Bareche,ENSG00000115523.17,protein_coding,GNLY,sensitive
PredictIO_Bareche,ENSG00000188389.11,protein_coding,PDCD1,sensitive
PredictIO_Bareche,ENSG00000144597.14,protein_coding,EAF1,sensitive
