"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"B_cells_Bindea_et_al","ENSG00000156738.18","protein_coding","MS4A1",NA,931
"B_cells_Bindea_et_al","ENSG00000100721.11","protein_coding","TCL1A",NA,8115
"B_cells_Bindea_et_al","ENSG00000241106.8","protein_coding","HLA-DOB",NA,3112
"B_cells_Bindea_et_al","ENSG00000168081.9","protein_coding","PNOC",NA,5368
"B_cells_Bindea_et_al","ENSG00000226777.8","lncRNA","FAM30A",NA,9834
"B_cells_Bindea_et_al","ENSG00000177455.15","protein_coding","CD19",NA,930
"B_cells_Bindea_et_al","ENSG00000117322.18","protein_coding","CR2",NA,1380
"B_cells_Bindea_et_al","ENSG00000211896.7","IG_C_gene","IGHG1",NA,NA
"B_cells_Bindea_et_al","ENSG00000132704.16","protein_coding","FCRL2",NA,79368
"B_cells_Bindea_et_al","ENSG00000136573.15","protein_coding","BLK",NA,640
"B_cells_Bindea_et_al","ENSG00000100473.18","protein_coding","COCH",NA,1690
"B_cells_Bindea_et_al","ENSG00000144645.15","protein_coding","OSBPL10",NA,114884
"B_cells_Bindea_et_al","ENSG00000211895.5","IG_C_gene","IGHA1",NA,NA
"B_cells_Bindea_et_al","ENSG00000048462.11","protein_coding","TNFRSF17",NA,608
"B_cells_Bindea_et_al","ENSG00000005471.19","protein_coding","ABCB4",NA,5244
"B_cells_Bindea_et_al","ENSG00000095585.18","protein_coding","BLNK",NA,29760
"B_cells_Bindea_et_al","ENSG00000178445.10","protein_coding","GLDC",NA,2731
"B_cells_Bindea_et_al","ENSG00000081189.16","protein_coding","MEF2C",NA,4208
"B_cells_Bindea_et_al","ENSG00000211899.10","IG_C_gene","IGHM",NA,NA
"B_cells_Bindea_et_al","ENSG00000226777.8","lncRNA","FAM30A",NA,9834
"B_cells_Bindea_et_al","ENSG00000269404.7","protein_coding","SPIB",NA,6689
"B_cells_Bindea_et_al","ENSG00000119866.22","protein_coding","BCL11A",NA,53335
"B_cells_Bindea_et_al","ENSG00000176533.13","protein_coding","GNG7",NA,2788
"B_cells_Bindea_et_al","ENSG00000211592.8","IG_C_gene","IGKC",NA,NA
"B_cells_Bindea_et_al","ENSG00000137101.14","protein_coding","CD72",NA,971
"B_cells_Bindea_et_al","ENSG00000243156.9","protein_coding","MICAL3",NA,57553
"B_cells_Bindea_et_al","ENSG00000112182.16","protein_coding","BACH2",NA,60468
"B_cells_Bindea_et_al",NA,NA,"IGLA",NA,NA
"B_cells_Bindea_et_al","ENSG00000173585.17","protein_coding","CCR9",NA,10803
"B_cells_Bindea_et_al","ENSG00000130348.11","protein_coding","QRSL1",NA,55278
"B_cells_Bindea_et_al","ENSG00000138101.20","protein_coding","DTNB",NA,1838
"B_cells_Bindea_et_al","ENSG00000196735.13","protein_coding","HLA-DQA1",NA,NA
"B_cells_Bindea_et_al","ENSG00000153253.19","protein_coding","SCN3A",NA,6328
"B_cells_Bindea_et_al","ENSG00000163406.11","protein_coding","SLC15A2",NA,6565
