"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"CAF_Peng_et_al","ENSG00000168542.16","protein_coding","COL3A1",NA,1281
"CAF_Peng_et_al","ENSG00000164692.19","protein_coding","COL1A2",NA,1278
"CAF_Peng_et_al","ENSG00000108821.14","protein_coding","COL1A1",NA,1277
"CAF_Peng_et_al","ENSG00000143387.14","protein_coding","CTSK",NA,1513
"CAF_Peng_et_al","ENSG00000186340.17","protein_coding","THBS2",NA,7058
"CAF_Peng_et_al","ENSG00000163359.17","protein_coding","COL6A3",NA,1293
"CAF_Peng_et_al","ENSG00000182326.16","protein_coding","C1S",NA,716
"CAF_Peng_et_al","ENSG00000130635.16","protein_coding","COL5A1",NA,1289
"CAF_Peng_et_al","ENSG00000125730.18","protein_coding","C3",NA,718
"CAF_Peng_et_al","ENSG00000145423.5","protein_coding","SFRP2",NA,6423
"CAF_Peng_et_al","ENSG00000142156.16","protein_coding","COL6A1",NA,1291
"CAF_Peng_et_al","ENSG00000159403.18","protein_coding","C1R",NA,715
"CAF_Peng_et_al","ENSG00000038427.16","protein_coding","VCAN",NA,1462
"CAF_Peng_et_al","ENSG00000101825.8","protein_coding","MXRA5",NA,25878
"CAF_Peng_et_al","ENSG00000149968.12","protein_coding","MMP3",NA,4314
"CAF_Peng_et_al","ENSG00000129009.13","protein_coding","ISLR",NA,3671
"CAF_Peng_et_al","ENSG00000011465.18","protein_coding","DCN",NA,1634
"CAF_Peng_et_al","ENSG00000204262.14","protein_coding","COL5A2",NA,1290
"CAF_Peng_et_al","ENSG00000103196.12","protein_coding","CRISPLD2",NA,83716
"CAF_Peng_et_al","ENSG00000288642.1","protein_coding","CDR1",NA,NA
"CAF_Peng_et_al","ENSG00000145824.13","protein_coding","CXCL14",NA,9547
"CAF_Peng_et_al","ENSG00000111799.22","protein_coding","COL12A1",NA,1303
"CAF_Peng_et_al","ENSG00000134028.14","protein_coding","ADAMDEC1",NA,27299
"CAF_Peng_et_al","ENSG00000106624.11","protein_coding","AEBP1",NA,165
"CAF_Peng_et_al","ENSG00000139329.5","protein_coding","LUM",NA,4060
"CAF_Peng_et_al","ENSG00000196611.6","protein_coding","MMP1",NA,4312
"CAF_Peng_et_al","ENSG00000132386.11","protein_coding","SERPINF1",NA,5176
"CAF_Peng_et_al","ENSG00000035862.12","protein_coding","TIMP2",NA,7077
"CAF_Peng_et_al","ENSG00000115461.5","protein_coding","IGFBP5",NA,3488
"CAF_Peng_et_al","ENSG00000113140.11","protein_coding","SPARC",NA,6678
"CAF_Peng_et_al","ENSG00000133048.13","protein_coding","CHI3L1",NA,1116
"CAF_Peng_et_al","ENSG00000104368.19","protein_coding","PLAT",NA,5327
"CAF_Peng_et_al","ENSG00000137573.14","protein_coding","SULF1",NA,23213
"CAF_Peng_et_al","ENSG00000166923.12","protein_coding","GREM1",NA,26585
"CAF_Peng_et_al","ENSG00000182492.16","protein_coding","BGN",NA,633
"CAF_Peng_et_al","ENSG00000050165.19","protein_coding","DKK3",NA,27122
"CAF_Peng_et_al","ENSG00000144810.16","protein_coding","COL8A1",NA,1295
"CAF_Peng_et_al","ENSG00000102265.12","protein_coding","TIMP1",NA,7076
"CAF_Peng_et_al","ENSG00000106538.10","protein_coding","RARRES2",NA,5919
"CAF_Peng_et_al","ENSG00000187479.8","protein_coding","C11orf96",NA,387763
"CAF_Peng_et_al","ENSG00000166147.15","protein_coding","FBN1",NA,2200
"CAF_Peng_et_al","ENSG00000249992.2","protein_coding","TMEM158",NA,25907
"CAF_Peng_et_al","ENSG00000154096.14","protein_coding","THY1",NA,7070
"CAF_Peng_et_al","ENSG00000106333.13","protein_coding","PCOLCE",NA,5118
"CAF_Peng_et_al","ENSG00000142871.18","protein_coding","CCN1",NA,3491
"CAF_Peng_et_al","ENSG00000115380.20","protein_coding","EFEMP1",NA,2202
"CAF_Peng_et_al","ENSG00000164932.13","protein_coding","CTHRC1",NA,115908
"CAF_Peng_et_al","ENSG00000180139.11","lncRNA","ACTA2-AS1",NA,NA
"CAF_Peng_et_al","ENSG00000077942.19","protein_coding","FBLN1",NA,2192
"CAF_Peng_et_al","ENSG00000163739.5","protein_coding","CXCL1",NA,2919
