"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"DNA_replication","ENSG00000104889.7","protein_coding","RNASEH2A",NA,10535
"DNA_replication","ENSG00000077514.9","protein_coding","POLD3",NA,10714
"DNA_replication","ENSG00000138346.15","protein_coding","DNA2",NA,1763
"DNA_replication","ENSG00000168496.4","protein_coding","FEN1",NA,2237
"DNA_replication","ENSG00000014138.9","protein_coding","POLA2",NA,23649
"DNA_replication","ENSG00000171865.10","protein_coding","RNASEH1",NA,246243
"DNA_replication","ENSG00000204086.4","protein_coding","RPA4",NA,29935
"DNA_replication","ENSG00000105486.14","protein_coding","LIG1",NA,3978
"DNA_replication","ENSG00000073111.14","protein_coding","MCM2",NA,4171
"DNA_replication","ENSG00000112118.20","protein_coding","MCM3",NA,4172
"DNA_replication","ENSG00000104738.18","protein_coding","MCM4",NA,4173
"DNA_replication","ENSG00000100297.16","protein_coding","MCM5",NA,4174
"DNA_replication","ENSG00000076003.5","protein_coding","MCM6",NA,4175
"DNA_replication","ENSG00000166508.18","protein_coding","MCM7",NA,4176
"DNA_replication","ENSG00000132646.11","protein_coding","PCNA",NA,5111
"DNA_replication","ENSG00000148229.13","protein_coding","POLE3",NA,54107
"DNA_replication","ENSG00000101868.13","protein_coding","POLA1",NA,5422
"DNA_replication","ENSG00000062822.16","protein_coding","POLD1",NA,5424
"DNA_replication","ENSG00000106628.12","protein_coding","POLD2",NA,5425
"DNA_replication","ENSG00000177084.18","protein_coding","POLE",NA,5426
"DNA_replication","ENSG00000100479.13","protein_coding","POLE2",NA,5427
"DNA_replication","ENSG00000198056.15","protein_coding","PRIM1",NA,5557
"DNA_replication","ENSG00000146143.19","protein_coding","PRIM2",NA,5558
"DNA_replication","ENSG00000115350.12","protein_coding","POLE4",NA,56655
"DNA_replication","ENSG00000175482.9","protein_coding","POLD4",NA,57804
"DNA_replication","ENSG00000035928.17","protein_coding","RFC1",NA,5981
"DNA_replication","ENSG00000049541.11","protein_coding","RFC2",NA,5982
"DNA_replication","ENSG00000133119.13","protein_coding","RFC3",NA,5983
"DNA_replication","ENSG00000163918.12","protein_coding","RFC4",NA,5984
"DNA_replication","ENSG00000111445.14","protein_coding","RFC5",NA,5985
"DNA_replication","ENSG00000132383.12","protein_coding","RPA1",NA,6117
"DNA_replication","ENSG00000117748.10","protein_coding","RPA2",NA,6118
"DNA_replication","ENSG00000106399.11","protein_coding","RPA3",NA,6119
"DNA_replication","ENSG00000106028.11","protein_coding","SSBP1",NA,6742
"DNA_replication","ENSG00000136104.21","protein_coding","RNASEH2B",NA,79621
"DNA_replication","ENSG00000172922.11","protein_coding","RNASEH2C",NA,84153
