"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"Homologous_recombination","ENSG00000113522.14","protein_coding","RAD50",NA,10111
"Homologous_recombination","ENSG00000077514.9","protein_coding","POLD3",NA,10714
"Homologous_recombination","ENSG00000154920.15","protein_coding","EME1",NA,146956
"Homologous_recombination","ENSG00000197275.14","protein_coding","RAD54B",NA,25788
"Homologous_recombination","ENSG00000204086.4","protein_coding","RPA4",NA,29935
"Homologous_recombination","ENSG00000020922.13","protein_coding","MRE11",NA,4361
"Homologous_recombination","ENSG00000104320.14","protein_coding","NBN",NA,4683
"Homologous_recombination","ENSG00000062822.16","protein_coding","POLD1",NA,5424
"Homologous_recombination","ENSG00000106628.12","protein_coding","POLD2",NA,5425
"Homologous_recombination","ENSG00000175482.9","protein_coding","POLD4",NA,57804
"Homologous_recombination","ENSG00000051180.17","protein_coding","RAD51",NA,5888
"Homologous_recombination","ENSG00000108384.15","protein_coding","RAD51C",NA,5889
"Homologous_recombination","ENSG00000182185.19","protein_coding","RAD51B",NA,5890
"Homologous_recombination","ENSG00000185379.21","protein_coding","RAD51D",NA,5892
"Homologous_recombination","ENSG00000002016.18","protein_coding","RAD52",NA,5893
"Homologous_recombination","ENSG00000132383.12","protein_coding","RPA1",NA,6117
"Homologous_recombination","ENSG00000117748.10","protein_coding","RPA2",NA,6118
"Homologous_recombination","ENSG00000106399.11","protein_coding","RPA3",NA,6119
"Homologous_recombination","ENSG00000197299.13","protein_coding","BLM",NA,641
"Homologous_recombination","ENSG00000106028.11","protein_coding","SSBP1",NA,6742
"Homologous_recombination","ENSG00000139618.17","protein_coding","BRCA2",NA,675
"Homologous_recombination","ENSG00000177302.15","protein_coding","TOP3A",NA,7156
"Homologous_recombination","ENSG00000196584.3","protein_coding","XRCC2",NA,7516
"Homologous_recombination","ENSG00000126215.14","protein_coding","XRCC3",NA,7517
"Homologous_recombination","ENSG00000127922.10","protein_coding","SEM1",NA,7979
"Homologous_recombination","ENSG00000172732.12","protein_coding","MUS81",NA,80198
"Homologous_recombination","ENSG00000085999.13","protein_coding","RAD54L",NA,8438
"Homologous_recombination","ENSG00000100038.20","protein_coding","TOP3B",NA,8940
