"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"ICB_resistance_Peng_et_al","ENSG00000115474.7","protein_coding","KCNJ13",NA,3769
"ICB_resistance_Peng_et_al","ENSG00000174837.15","protein_coding","ADGRE1",NA,2015
"ICB_resistance_Peng_et_al","ENSG00000090382.7","protein_coding","LYZ",NA,4069
"ICB_resistance_Peng_et_al","ENSG00000143196.5","protein_coding","DPT",NA,1805
"ICB_resistance_Peng_et_al","ENSG00000179344.17","protein_coding","HLA-DQB1",NA,3119
"ICB_resistance_Peng_et_al","ENSG00000147145.14","protein_coding","LPAR4",NA,2846
"ICB_resistance_Peng_et_al","ENSG00000143119.14","protein_coding","CD53",NA,963
"ICB_resistance_Peng_et_al","ENSG00000118785.15","protein_coding","SPP1",NA,6696
"ICB_resistance_Peng_et_al","ENSG00000172986.13","protein_coding","GXYLT2",NA,727936
"ICB_resistance_Peng_et_al","ENSG00000237693.5","protein_coding","IRGM",NA,345611
"ICB_resistance_Peng_et_al","ENSG00000169245.6","protein_coding","CXCL10",NA,3627
"ICB_resistance_Peng_et_al","ENSG00000136514.3","protein_coding","RTP4",NA,64108
"ICB_resistance_Peng_et_al","ENSG00000075618.18","protein_coding","FSCN1",NA,6624
"ICB_resistance_Peng_et_al","ENSG00000162747.12","protein_coding","FCGR3B",NA,2215
"ICB_resistance_Peng_et_al","ENSG00000203747.12","protein_coding","FCGR3A",NA,2214
"ICB_resistance_Peng_et_al","ENSG00000137965.11","protein_coding","IFI44",NA,10561
"ICB_resistance_Peng_et_al","ENSG00000136040.9","protein_coding","PLXNC1",NA,10154
"ICB_resistance_Peng_et_al",NA,NA,"CCL3L3",NA,6349
"ICB_resistance_Peng_et_al","ENSG00000165168.9","protein_coding","CYBB",NA,1536
"ICB_resistance_Peng_et_al","ENSG00000184979.10","protein_coding","USP18",NA,11274
"ICB_resistance_Peng_et_al","ENSG00000137265.16","protein_coding","IRF4",NA,3662
"ICB_resistance_Peng_et_al","ENSG00000196735.13","protein_coding","HLA-DQA1",NA,NA
"ICB_resistance_Peng_et_al","ENSG00000011600.12","protein_coding","TYROBP",NA,7305
"ICB_resistance_Peng_et_al","ENSG00000124256.15","protein_coding","ZBP1",NA,81030
"ICB_resistance_Peng_et_al","ENSG00000074416.16","protein_coding","MGLL",NA,11343
"ICB_resistance_Peng_et_al","ENSG00000120708.17","protein_coding","TGFBI",NA,7045
"ICB_resistance_Peng_et_al","ENSG00000081237.20","protein_coding","PTPRC",NA,5788
"ICB_resistance_Peng_et_al","ENSG00000240065.8","protein_coding","PSMB9",NA,5698
"ICB_resistance_Peng_et_al","ENSG00000163565.20","protein_coding","IFI16",NA,3428
"ICB_resistance_Peng_et_al","ENSG00000163131.12","protein_coding","CTSS",NA,1520
"ICB_resistance_Peng_et_al","ENSG00000165457.15","protein_coding","FOLR2",NA,2350
"ICB_resistance_Peng_et_al","ENSG00000157470.12","protein_coding","FAM81A",NA,145773
"ICB_resistance_Peng_et_al","ENSG00000073417.15","protein_coding","PDE8A",NA,5151
"ICB_resistance_Peng_et_al","ENSG00000160791.14","protein_coding","CCR5",NA,1234
"ICB_resistance_Peng_et_al","ENSG00000197632.9","protein_coding","SERPINB2",NA,5055
"ICB_resistance_Peng_et_al","ENSG00000172322.14","protein_coding","CLEC12A",NA,160364
"ICB_resistance_Peng_et_al","ENSG00000166927.13","protein_coding","MS4A7",NA,58475
"ICB_resistance_Peng_et_al","ENSG00000134061.5","protein_coding","CD180",NA,4064
"ICB_resistance_Peng_et_al","ENSG00000111335.14","protein_coding","OAS2",NA,4939
"ICB_resistance_Peng_et_al","ENSG00000121807.7","protein_coding","CCR2",NA,729230
"ICB_resistance_Peng_et_al","ENSG00000198502.6","protein_coding","HLA-DRB5",NA,3127
"ICB_resistance_Peng_et_al","ENSG00000166428.14","protein_coding","PLD4",NA,122618
"ICB_resistance_Peng_et_al","ENSG00000132530.17","protein_coding","XAF1",NA,54739
"ICB_resistance_Peng_et_al","ENSG00000092068.21","protein_coding","SLC7A8",NA,23428
"ICB_resistance_Peng_et_al","ENSG00000066294.15","protein_coding","CD84",NA,8832
"ICB_resistance_Peng_et_al","ENSG00000019582.17","protein_coding","CD74",NA,972
"ICB_resistance_Peng_et_al","ENSG00000100055.21","protein_coding","CYTH4",NA,27128
"ICB_resistance_Peng_et_al","ENSG00000158869.11","protein_coding","FCER1G",NA,2207
"ICB_resistance_Peng_et_al","ENSG00000168685.15","protein_coding","IL7R",NA,3575
"ICB_resistance_Peng_et_al","ENSG00000172243.18","protein_coding","CLEC7A",NA,64581
