"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"Macrophages_Bindea_et_al","ENSG00000019169.11","protein_coding","MARCO",NA,8685
"Macrophages_Bindea_et_al","ENSG00000163735.7","protein_coding","CXCL5",NA,6374
"Macrophages_Bindea_et_al","ENSG00000166922.9","protein_coding","SCG5",NA,6447
"Macrophages_Bindea_et_al","ENSG00000198203.10","protein_coding","SULT1C2",NA,6819
"Macrophages_Bindea_et_al","ENSG00000038945.15","protein_coding","MSR1",NA,4481
"Macrophages_Bindea_et_al","ENSG00000143387.14","protein_coding","CTSK",NA,1513
"Macrophages_Bindea_et_al","ENSG00000107317.13","protein_coding","PTGDS",NA,5730
"Macrophages_Bindea_et_al","ENSG00000158270.12","protein_coding","COLEC12",NA,81035
"Macrophages_Bindea_et_al","ENSG00000076716.9","protein_coding","GPC4",NA,2239
"Macrophages_Bindea_et_al","ENSG00000163710.9","protein_coding","PCOLCE2",NA,26577
"Macrophages_Bindea_et_al","ENSG00000133063.16","protein_coding","CHIT1",NA,1118
"Macrophages_Bindea_et_al","ENSG00000011201.12","protein_coding","ANOS1",NA,3730
"Macrophages_Bindea_et_al","ENSG00000258227.7","protein_coding","CLEC5A",NA,23601
"Macrophages_Bindea_et_al","ENSG00000065833.9","protein_coding","ME1",NA,4199
"Macrophages_Bindea_et_al","ENSG00000137976.8","protein_coding","DNASE2B",NA,58511
"Macrophages_Bindea_et_al","ENSG00000108688.11","protein_coding","CCL7",NA,6354
"Macrophages_Bindea_et_al","ENSG00000115414.21","protein_coding","FN1",NA,2335
"Macrophages_Bindea_et_al","ENSG00000177575.13","protein_coding","CD163",NA,9332
"Macrophages_Bindea_et_al","ENSG00000196743.9","protein_coding","GM2A",NA,2760
"Macrophages_Bindea_et_al","ENSG00000138760.11","protein_coding","SCARB2",NA,950
"Macrophages_Bindea_et_al","ENSG00000060982.15","protein_coding","BCAT1",NA,586
"Macrophages_Bindea_et_al","ENSG00000039560.14","protein_coding","RAI14",NA,26064
"Macrophages_Bindea_et_al","ENSG00000171812.13","protein_coding","COL8A2",NA,1296
"Macrophages_Bindea_et_al","ENSG00000130203.10","protein_coding","APOE",NA,348
"Macrophages_Bindea_et_al","ENSG00000133048.13","protein_coding","CHI3L1",NA,1116
"Macrophages_Bindea_et_al","ENSG00000197548.13","protein_coding","ATG7",NA,10533
"Macrophages_Bindea_et_al","ENSG00000066294.15","protein_coding","CD84",NA,8832
"Macrophages_Bindea_et_al","ENSG00000137714.3","protein_coding","FDX1",NA,2230
"Macrophages_Bindea_et_al","ENSG00000110079.19","protein_coding","MS4A4A",NA,51338
"Macrophages_Bindea_et_al","ENSG00000198964.14","protein_coding","SGMS1",NA,259230
"Macrophages_Bindea_et_al","ENSG00000134531.10","protein_coding","EMP1",NA,2012
"Macrophages_Bindea_et_al","ENSG00000165168.9","protein_coding","CYBB",NA,1536
"Macrophages_Bindea_et_al","ENSG00000129226.14","protein_coding","CD68",NA,968
