"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"NK_CD56dim_cells_Bindea_et_al","ENSG00000240403.5","protein_coding","KIR3DL2",NA,3812
"NK_CD56dim_cells_Bindea_et_al","ENSG00000159674.12","protein_coding","SPON2",NA,10417
"NK_CD56dim_cells_Bindea_et_al","ENSG00000243772.8","protein_coding","KIR2DL3",NA,3804
"NK_CD56dim_cells_Bindea_et_al","ENSG00000100453.14","protein_coding","GZMB",NA,3002
"NK_CD56dim_cells_Bindea_et_al",NA,NA,"KIR3DS1",NA,3813
"NK_CD56dim_cells_Bindea_et_al","ENSG00000167633.18","protein_coding","KIR3DL1",NA,3811
"NK_CD56dim_cells_Bindea_et_al","ENSG00000075234.17","protein_coding","TTC38",NA,55020
"NK_CD56dim_cells_Bindea_et_al","ENSG00000124225.16","protein_coding","PMEPA1",NA,56937
"NK_CD56dim_cells_Bindea_et_al","ENSG00000103522.16","protein_coding","IL21R",NA,50615
"NK_CD56dim_cells_Bindea_et_al","ENSG00000242019.2","protein_coding","KIR3DL3",NA,115653
"NK_CD56dim_cells_Bindea_et_al",NA,NA,"KIR2DS5",NA,3810
"NK_CD56dim_cells_Bindea_et_al",NA,NA,"KIR2DS2",NA,100132285
"NK_CD56dim_cells_Bindea_et_al","ENSG00000077235.18","protein_coding","GTF3C1",NA,2975
"NK_CD56dim_cells_Bindea_et_al",NA,NA,"KIR2DS1",NA,3806
"NK_CD56dim_cells_Bindea_et_al","ENSG00000180739.15","protein_coding","S1PR5",NA,53637
"NK_CD56dim_cells_Bindea_et_al","ENSG00000120875.9","protein_coding","DUSP4",NA,1846
"NK_CD56dim_cells_Bindea_et_al","ENSG00000166592.12","protein_coding","RRAD",NA,6236
"NK_CD56dim_cells_Bindea_et_al","ENSG00000143184.5","protein_coding","XCL1",NA,6375
"NK_CD56dim_cells_Bindea_et_al","ENSG00000184381.20","protein_coding","PLA2G6",NA,8398
"NK_CD56dim_cells_Bindea_et_al","ENSG00000167632.18","protein_coding","TRAPPC9",NA,83696
"NK_CD56dim_cells_Bindea_et_al","ENSG00000129654.8","protein_coding","FOXJ1",NA,2302
"NK_CD56dim_cells_Bindea_et_al","ENSG00000110514.19","protein_coding","MADD",NA,8567
"NK_CD56dim_cells_Bindea_et_al",NA,NA,"BG255923",NA,NA
"NK_CD56dim_cells_Bindea_et_al","ENSG00000186732.14","protein_coding","MPPED1",NA,758
"NK_CD56dim_cells_Bindea_et_al",NA,NA,"MUC3B",NA,NA
