"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"Normal_mucosa_Bindea_et_al","ENSG00000127324.9","protein_coding","TSPAN8",NA,7103
"Normal_mucosa_Bindea_et_al","ENSG00000171747.9","protein_coding","LGALS4",NA,3960
"Normal_mucosa_Bindea_et_al","ENSG00000011465.18","protein_coding","DCN",NA,1634
"Normal_mucosa_Bindea_et_al","ENSG00000168542.16","protein_coding","COL3A1",NA,1281
"Normal_mucosa_Bindea_et_al","ENSG00000105388.17","protein_coding","CEACAM5",NA,1048
"Normal_mucosa_Bindea_et_al","ENSG00000149591.17","protein_coding","TAGLN",NA,6876
"Normal_mucosa_Bindea_et_al","ENSG00000171431.4","protein_coding","KRT20",NA,54474
"Normal_mucosa_Bindea_et_al","ENSG00000133392.18","protein_coding","MYH11",NA,4629
"Normal_mucosa_Bindea_et_al","ENSG00000089356.19","protein_coding","FXYD3",NA,5349
"Normal_mucosa_Bindea_et_al","ENSG00000163017.14","protein_coding","ACTG2",NA,72
"Normal_mucosa_Bindea_et_al","ENSG00000065534.20","protein_coding","MYLK",NA,4638
"Normal_mucosa_Bindea_et_al","ENSG00000140416.23","protein_coding","TPM1",NA,7168
"Normal_mucosa_Bindea_et_al","ENSG00000079112.10","protein_coding","CDH17",NA,1015
"Normal_mucosa_Bindea_et_al","ENSG00000147862.18","protein_coding","NFIB",NA,4781
"Normal_mucosa_Bindea_et_al","ENSG00000111341.10","protein_coding","MGP",NA,4256
"Normal_mucosa_Bindea_et_al","ENSG00000152583.13","protein_coding","SPARCL1",NA,8404
"Normal_mucosa_Bindea_et_al","ENSG00000143248.13","protein_coding","RGS5",NA,8490
"Normal_mucosa_Bindea_et_al","ENSG00000162407.9","protein_coding","PLPP3",NA,8613
"Normal_mucosa_Bindea_et_al","ENSG00000163453.11","protein_coding","IGFBP7",NA,3490
"Normal_mucosa_Bindea_et_al","ENSG00000122786.20","protein_coding","CALD1",NA,800
"Normal_mucosa_Bindea_et_al","ENSG00000159403.18","protein_coding","C1R",NA,715
"Normal_mucosa_Bindea_et_al","ENSG00000106541.12","protein_coding","AGR2",NA,10551
"Normal_mucosa_Bindea_et_al","ENSG00000088256.9","protein_coding","GNA11",NA,2767
"Normal_mucosa_Bindea_et_al","ENSG00000089472.18","protein_coding","HEPH",NA,9843
"Normal_mucosa_Bindea_et_al","ENSG00000172380.6","protein_coding","GNG12",NA,55970
"Normal_mucosa_Bindea_et_al","ENSG00000196616.14","protein_coding","ADH1B",NA,125
"Normal_mucosa_Bindea_et_al","ENSG00000150938.10","protein_coding","CRIM1",NA,51232
"Normal_mucosa_Bindea_et_al","ENSG00000077942.19","protein_coding","FBLN1",NA,2192
"Normal_mucosa_Bindea_et_al","ENSG00000115461.5","protein_coding","IGFBP5",NA,3488
"Normal_mucosa_Bindea_et_al","ENSG00000112769.20","protein_coding","LAMA4",NA,3910
"Normal_mucosa_Bindea_et_al","ENSG00000105974.13","protein_coding","CAV1",NA,857
"Normal_mucosa_Bindea_et_al","ENSG00000106299.8","protein_coding","WASL",NA,8976
