"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"PPAGs","ENSG00000143537.14","protein_coding","ADAM15",NA,8751
"PPAGs","ENSG00000205336.14","protein_coding","ADGRG1",NA,9289
"PPAGs","ENSG00000141736.14","protein_coding","ERBB2",NA,2064
"PPAGs","ENSG00000112715.26","protein_coding","VEGFA",NA,7422
"PPAGs","ENSG00000105220.17","protein_coding","GPI",NA,2821
"PPAGs","ENSG00000100345.23","protein_coding","MYH9",NA,4627
"PPAGs","ENSG00000176170.14","protein_coding","SPHK1",NA,8877
"PPAGs","ENSG00000187498.16","protein_coding","COL4A1",NA,1282
"PPAGs","ENSG00000125686.12","protein_coding","MED1",NA,5469
"PPAGs","ENSG00000162775.17","protein_coding","RBM15",NA,64783
"PPAGs","ENSG00000151651.16","protein_coding","ADAM8",NA,101
"PPAGs","ENSG00000189377.9","protein_coding","CXCL17",NA,284340
"PPAGs","ENSG00000150782.12","protein_coding","IL18",NA,3606
"PPAGs","ENSG00000188064.10","protein_coding","WNT7B",NA,7477
"PPAGs","ENSG00000182580.3","protein_coding","EPHB3",NA,2049
"PPAGs","ENSG00000134318.15","protein_coding","ROCK2",NA,9475
"PPAGs","ENSG00000107338.10","protein_coding","SHB",NA,6461
"PPAGs","ENSG00000161638.11","protein_coding","ITGA5",NA,3678
"PPAGs","ENSG00000134871.19","protein_coding","COL4A2",NA,1284
"PPAGs","ENSG00000091879.14","protein_coding","ANGPT2",NA,285
"PPAGs","ENSG00000165891.16","protein_coding","E2F7",NA,144455
"PPAGs","ENSG00000128165.9","protein_coding","ADM2",NA,79924
"PPAGs","ENSG00000164134.13","protein_coding","NAA15",NA,80155
"PPAGs","ENSG00000067182.8","protein_coding","TNFRSF1A",NA,7132
"PPAGs","ENSG00000119630.14","protein_coding","PGF",NA,5228
"PPAGs","ENSG00000161381.14","protein_coding","PLXDC1",NA,57125
"PPAGs","ENSG00000106799.13","protein_coding","TGFBR1",NA,7046
