"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"SW480_cancer_cells_Bindea_et_al","ENSG00000186081.12","protein_coding","KRT5",NA,3852
"SW480_cancer_cells_Bindea_et_al","ENSG00000114115.10","protein_coding","RBP1",NA,5947
"SW480_cancer_cells_Bindea_et_al","ENSG00000137699.17","protein_coding","TRIM29",NA,23650
"SW480_cancer_cells_Bindea_et_al","ENSG00000164816.8","protein_coding","DEFA5",NA,1670
"SW480_cancer_cells_Bindea_et_al","ENSG00000125378.16","protein_coding","BMP4",NA,652
"SW480_cancer_cells_Bindea_et_al","ENSG00000101210.13","protein_coding","EEF1A2",NA,1917
"SW480_cancer_cells_Bindea_et_al","ENSG00000163032.12","protein_coding","VSNL1",NA,7447
"SW480_cancer_cells_Bindea_et_al","ENSG00000169696.16","protein_coding","ASPSCR1",NA,79058
"SW480_cancer_cells_Bindea_et_al","ENSG00000167244.22","protein_coding","IGF2",NA,3481
"SW480_cancer_cells_Bindea_et_al","ENSG00000117122.14","protein_coding","MFAP2",NA,4237
"SW480_cancer_cells_Bindea_et_al","ENSG00000186895.4","protein_coding","FGF3",NA,2248
"SW480_cancer_cells_Bindea_et_al","ENSG00000196754.13","protein_coding","S100A2",NA,6273
"SW480_cancer_cells_Bindea_et_al","ENSG00000163083.6","protein_coding","INHBB",NA,3625
"SW480_cancer_cells_Bindea_et_al","ENSG00000184916.9","protein_coding","JAG2",NA,3714
"SW480_cancer_cells_Bindea_et_al","ENSG00000149328.15","protein_coding","GLB1L2",NA,89944
"SW480_cancer_cells_Bindea_et_al","ENSG00000095739.11","protein_coding","BAMBI",NA,25805
"SW480_cancer_cells_Bindea_et_al","ENSG00000101144.13","protein_coding","BMP7",NA,655
"SW480_cancer_cells_Bindea_et_al","ENSG00000178718.7","protein_coding","RPP25",NA,54913
"SW480_cancer_cells_Bindea_et_al","ENSG00000173156.7","protein_coding","RHOD",NA,29984
"SW480_cancer_cells_Bindea_et_al","ENSG00000100867.15","protein_coding","DHRS2",NA,10202
"SW480_cancer_cells_Bindea_et_al","ENSG00000132470.14","protein_coding","ITGB4",NA,3691
"SW480_cancer_cells_Bindea_et_al","ENSG00000101188.5","protein_coding","NTSR1",NA,4923
"SW480_cancer_cells_Bindea_et_al","ENSG00000137868.19","protein_coding","STRA6",NA,64220
"SW480_cancer_cells_Bindea_et_al","ENSG00000105281.12","protein_coding","SLC1A5",NA,6510
"SW480_cancer_cells_Bindea_et_al","ENSG00000004478.8","protein_coding","FKBP4",NA,2288
"SW480_cancer_cells_Bindea_et_al","ENSG00000188015.10","protein_coding","S100A3",NA,6274
"SW480_cancer_cells_Bindea_et_al","ENSG00000197905.10","protein_coding","TEAD4",NA,7004
"SW480_cancer_cells_Bindea_et_al","ENSG00000167755.15","protein_coding","KLK6",NA,5653
"SW480_cancer_cells_Bindea_et_al","ENSG00000110092.4","protein_coding","CCND1",NA,595
"SW480_cancer_cells_Bindea_et_al","ENSG00000083807.10","protein_coding","SLC27A5",NA,10998
"SW480_cancer_cells_Bindea_et_al","ENSG00000078399.19","protein_coding","HOXA9",NA,3205
"SW480_cancer_cells_Bindea_et_al","ENSG00000131187.11","protein_coding","F12",NA,2161
"SW480_cancer_cells_Bindea_et_al","ENSG00000173621.9","protein_coding","LRFN4",NA,78999
"SW480_cancer_cells_Bindea_et_al",NA,NA,"NM_024609",NA,NA
"SW480_cancer_cells_Bindea_et_al","ENSG00000130821.17","protein_coding","SLC6A8",NA,6535
"SW480_cancer_cells_Bindea_et_al","ENSG00000102225.17","protein_coding","CDK16",NA,5127
"SW480_cancer_cells_Bindea_et_al","ENSG00000171401.15","protein_coding","KRT13",NA,3860
