"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"TAM_Peng_et_al","ENSG00000124491.16","protein_coding","F13A1",NA,2162
"TAM_Peng_et_al","ENSG00000179639.11","protein_coding","FCER1A",NA,2205
"TAM_Peng_et_al","ENSG00000102970.11","protein_coding","CCL17",NA,6361
"TAM_Peng_et_al","ENSG00000164379.7","protein_coding","FOXQ1",NA,94234
"TAM_Peng_et_al","ENSG00000144488.15","protein_coding","ESPNL",NA,339768
"TAM_Peng_et_al","ENSG00000158477.7","protein_coding","CD1A",NA,909
"TAM_Peng_et_al","ENSG00000171766.17","protein_coding","GATM",NA,2628
"TAM_Peng_et_al","ENSG00000181374.8","protein_coding","CCL13",NA,6357
"TAM_Peng_et_al","ENSG00000129116.19","protein_coding","PALLD",NA,23022
"TAM_Peng_et_al","ENSG00000110328.6","protein_coding","GALNT18",NA,374378
"TAM_Peng_et_al","ENSG00000189221.11","protein_coding","MAOA",NA,4128
"TAM_Peng_et_al","ENSG00000132329.11","protein_coding","RAMP1",NA,10267
"TAM_Peng_et_al","ENSG00000010327.10","protein_coding","STAB1",NA,23166
"TAM_Peng_et_al","ENSG00000006606.9","protein_coding","CCL26",NA,10344
"TAM_Peng_et_al","ENSG00000274736.5","protein_coding","CCL23",NA,6368
"TAM_Peng_et_al","ENSG00000169116.11","protein_coding","PARM1",NA,25849
"TAM_Peng_et_al","ENSG00000158488.16","protein_coding","CD1E",NA,913
"TAM_Peng_et_al","ENSG00000135916.16","protein_coding","ITM2C",NA,81618
"TAM_Peng_et_al","ENSG00000064989.13","protein_coding","CALCRL",NA,10203
"TAM_Peng_et_al","ENSG00000147571.5","protein_coding","CRH",NA,1392
"TAM_Peng_et_al","ENSG00000150681.10","protein_coding","RGS18",NA,64407
"TAM_Peng_et_al","ENSG00000110077.15","protein_coding","MS4A6A",NA,64231
"TAM_Peng_et_al","ENSG00000100867.15","protein_coding","DHRS2",NA,10202
"TAM_Peng_et_al","ENSG00000105854.13","protein_coding","PON2",NA,5445
"TAM_Peng_et_al","ENSG00000161905.13","protein_coding","ALOX15",NA,246
"TAM_Peng_et_al","ENSG00000134594.5","protein_coding","RAB33A",NA,9363
"TAM_Peng_et_al","ENSG00000075643.6","protein_coding","MOCOS",NA,55034
"TAM_Peng_et_al","ENSG00000275385.2","protein_coding","CCL18",NA,6362
"TAM_Peng_et_al","ENSG00000056736.10","protein_coding","IL17RB",NA,55540
"TAM_Peng_et_al","ENSG00000170323.9","protein_coding","FABP4",NA,2167
"TAM_Peng_et_al","ENSG00000170293.9","protein_coding","CMTM8",NA,152189
"TAM_Peng_et_al","ENSG00000103485.19","protein_coding","QPRT",NA,23475
"TAM_Peng_et_al","ENSG00000109089.7","protein_coding","CDR2L",NA,30850
"TAM_Peng_et_al","ENSG00000140254.13","protein_coding","DUOXA1",NA,90527
"TAM_Peng_et_al","ENSG00000125257.16","protein_coding","ABCC4",NA,10257
"TAM_Peng_et_al","ENSG00000103528.17","protein_coding","SYT17",NA,51760
"TAM_Peng_et_al","ENSG00000167641.11","protein_coding","PPP1R14A",NA,94274
"TAM_Peng_et_al","ENSG00000145431.11","protein_coding","PDGFC",NA,56034
"TAM_Peng_et_al","ENSG00000167701.14","protein_coding","GPT",NA,2875
"TAM_Peng_et_al","ENSG00000135063.20","protein_coding","FAM189A2",NA,NA
"TAM_Peng_et_al","ENSG00000111344.12","protein_coding","RASAL1",NA,8437
"TAM_Peng_et_al","ENSG00000074706.14","protein_coding","IPCEF1",NA,26034
"TAM_Peng_et_al","ENSG00000178175.12","protein_coding","ZNF366",NA,167465
"TAM_Peng_et_al","ENSG00000104814.13","protein_coding","MAP4K1",NA,11184
"TAM_Peng_et_al","ENSG00000137502.10","protein_coding","RAB30",NA,27314
"TAM_Peng_et_al","ENSG00000179715.13","protein_coding","PCED1B",NA,91523
"TAM_Peng_et_al","ENSG00000121933.19","protein_coding","TMIGD3",NA,57413
"TAM_Peng_et_al","ENSG00000130147.16","protein_coding","SH3BP4",NA,23677
"TAM_Peng_et_al","ENSG00000179041.4","protein_coding","RRS1",NA,23212
"TAM_Peng_et_al","ENSG00000129538.14","protein_coding","RNASE1",NA,6035
