"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"TMEscoreB_plus","ENSG00000255248.10","lncRNA","MIR100HG",NA,399959
"TMEscoreB_plus","ENSG00000163637.13","protein_coding","PRICKLE2",NA,166336
"TMEscoreB_plus","ENSG00000100767.17","protein_coding","PAPLN",NA,89932
"TMEscoreB_plus","ENSG00000152527.14","protein_coding","PLEKHH2",NA,130271
"TMEscoreB_plus","ENSG00000079308.20","protein_coding","TNS1",NA,7145
"TMEscoreB_plus","ENSG00000171444.18","protein_coding","MCC",NA,4163
"TMEscoreB_plus","ENSG00000165072.10","protein_coding","MAMDC2",NA,256691
"TMEscoreB_plus","ENSG00000227051.7","protein_coding","C14orf132",NA,56967
"TMEscoreB_plus","ENSG00000171992.13","protein_coding","SYNPO",NA,11346
"TMEscoreB_plus","ENSG00000153823.19","protein_coding","PID1",NA,55022
"TMEscoreB_plus","ENSG00000183019.8","protein_coding","MCEMP1",NA,199675
"TMEscoreB_plus","ENSG00000165424.7","protein_coding","ZCCHC24",NA,219654
"TMEscoreB_plus","ENSG00000184500.16","protein_coding","PROS1",NA,5627
"TMEscoreB_plus","ENSG00000166086.13","protein_coding","JAM3",NA,83700
"TMEscoreB_plus","ENSG00000140682.19","protein_coding","TGFB1I1",NA,7041
"TMEscoreB_plus","ENSG00000182534.14","protein_coding","MXRA7",NA,439921
"TMEscoreB_plus","ENSG00000118407.15","protein_coding","FILIP1",NA,27145
"TMEscoreB_plus","ENSG00000109846.9","protein_coding","CRYAB",NA,1410
"TMEscoreB_plus","ENSG00000163297.18","protein_coding","ANTXR2",NA,118429
