"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"T_cells_Bindea_et_al","ENSG00000065675.16","protein_coding","PRKCQ",NA,5588
"T_cells_Bindea_et_al","ENSG00000167286.11","protein_coding","CD3D",NA,915
"T_cells_Bindea_et_al","ENSG00000160654.11","protein_coding","CD3G",NA,917
"T_cells_Bindea_et_al","ENSG00000178562.18","protein_coding","CD28",NA,940
"T_cells_Bindea_et_al","ENSG00000182866.17","protein_coding","LCK",NA,3932
"T_cells_Bindea_et_al","ENSG00000163519.14","protein_coding","TRAT1",NA,50852
"T_cells_Bindea_et_al","ENSG00000127152.18","protein_coding","BCL11B",NA,64919
"T_cells_Bindea_et_al","ENSG00000116824.5","protein_coding","CD2",NA,914
"T_cells_Bindea_et_al","ENSG00000211751.9","TR_C_gene","TRBC1",NA,NA
"T_cells_Bindea_et_al",NA,NA,"TRAA",NA,NA
"T_cells_Bindea_et_al","ENSG00000078596.11","protein_coding","ITM2A",NA,9452
"T_cells_Bindea_et_al","ENSG00000183918.17","protein_coding","SH2D1A",NA,4068
"T_cells_Bindea_et_al","ENSG00000013725.14","protein_coding","CD6",NA,923
"T_cells_Bindea_et_al","ENSG00000153283.13","protein_coding","CD96",NA,10225
"T_cells_Bindea_et_al","ENSG00000104490.18","protein_coding","NCALD",NA,83988
"T_cells_Bindea_et_al","ENSG00000196329.12","protein_coding","GIMAP5",NA,55340
"T_cells_Bindea_et_al","ENSG00000198851.10","protein_coding","CD3E",NA,916
"T_cells_Bindea_et_al","ENSG00000141293.16","protein_coding","SKAP1",NA,8631
