"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"TUMOR-VASCULATURE-UP_Lu","ENSG00000148848.15","protein_coding","ADAM12",NA,8038
"TUMOR-VASCULATURE-UP_Lu","ENSG00000184060.11","protein_coding","ADAP2",NA,55803
"TUMOR-VASCULATURE-UP_Lu","ENSG00000128656.15","protein_coding","CHN1",NA,1123
"TUMOR-VASCULATURE-UP_Lu","ENSG00000170293.9","protein_coding","CMTM8",NA,152189
"TUMOR-VASCULATURE-UP_Lu","ENSG00000080573.7","protein_coding","COL5A3",NA,50509
"TUMOR-VASCULATURE-UP_Lu","ENSG00000198759.12","protein_coding","EGFL6",NA,25975
"TUMOR-VASCULATURE-UP_Lu","ENSG00000179431.7","protein_coding","FJX1",NA,24147
"TUMOR-VASCULATURE-UP_Lu","ENSG00000137273.6","protein_coding","FOXF2",NA,2295
"TUMOR-VASCULATURE-UP_Lu","ENSG00000111432.5","protein_coding","FZD10",NA,11211
"TUMOR-VASCULATURE-UP_Lu","ENSG00000171476.22","protein_coding","HOPX",NA,84525
"TUMOR-VASCULATURE-UP_Lu","ENSG00000173110.8","protein_coding","HSPA6",NA,3310
"TUMOR-VASCULATURE-UP_Lu","ENSG00000187608.10","protein_coding","ISG15",NA,9636
"TUMOR-VASCULATURE-UP_Lu","ENSG00000043462.13","protein_coding","LCP2",NA,3937
"TUMOR-VASCULATURE-UP_Lu","ENSG00000100985.7","protein_coding","MMP9",NA,4318
"TUMOR-VASCULATURE-UP_Lu","ENSG00000185499.17","protein_coding","MUC1",NA,4582
"TUMOR-VASCULATURE-UP_Lu","ENSG00000101825.8","protein_coding","MXRA5",NA,25878
"TUMOR-VASCULATURE-UP_Lu","ENSG00000149090.13","protein_coding","PAMR1",NA,25891
"TUMOR-VASCULATURE-UP_Lu","ENSG00000161381.14","protein_coding","PLXDC1",NA,57125
"TUMOR-VASCULATURE-UP_Lu","ENSG00000141682.12","protein_coding","PMAIP1",NA,5366
"TUMOR-VASCULATURE-UP_Lu","ENSG00000133110.15","protein_coding","POSTN",NA,10631
"TUMOR-VASCULATURE-UP_Lu","ENSG00000142534.7","protein_coding","RPS11",NA,6205
"TUMOR-VASCULATURE-UP_Lu","ENSG00000006747.15","protein_coding","SCIN",NA,85477
"TUMOR-VASCULATURE-UP_Lu","ENSG00000118785.15","protein_coding","SPP1",NA,6696
"TUMOR-VASCULATURE-UP_Lu","ENSG00000159167.12","protein_coding","STC1",NA,6781
"TUMOR-VASCULATURE-UP_Lu","ENSG00000123610.5","protein_coding","TNFAIP6",NA,7130
"TUMOR-VASCULATURE-UP_Lu","ENSG00000146072.6","protein_coding","TNFRSF21",NA,27242
"TUMOR-VASCULATURE-UP_Lu","ENSG00000122691.13","protein_coding","TWIST1",NA,7291
"TUMOR-VASCULATURE-UP_Lu","ENSG00000038427.16","protein_coding","VCAN",NA,1462
"TUMOR-VASCULATURE-UP_Lu","ENSG00000116455.14","protein_coding","WDR77",NA,79084
