"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"ADO_Sidders","ENSG00000132170.24","protein_coding","PPARG",NA,"5468"
"ADO_Sidders","ENSG00000165168.9","protein_coding","CYBB",NA,"1536"
"ADO_Sidders","ENSG00000168542.16","protein_coding","COL3A1",NA,"1281"
"ADO_Sidders","ENSG00000049768.17","protein_coding","FOXP3",NA,"50943"
"ADO_Sidders","ENSG00000089692.9","protein_coding","LAG3",NA,"3902"
"ADO_Sidders","ENSG00000142192.21","protein_coding","APP",NA,"351"
"ADO_Sidders","ENSG00000110651.12","protein_coding","CD81",NA,"975"
"ADO_Sidders","ENSG00000105220.17","protein_coding","GPI",NA,"2821"
"ADO_Sidders","ENSG00000073756.13","protein_coding","PTGS2",NA,"5743"
"ADO_Sidders","ENSG00000137752.25","protein_coding","CASP1",NA,"834"
"ADO_Sidders","ENSG00000170345.10","protein_coding","FOS",NA,"2353"
"ADO_Sidders","ENSG00000100030.15","protein_coding","MAPK1",NA,"5594"
"ADO_Sidders","ENSG00000102882.12","protein_coding","MAPK3",NA,"5595"
"ADO_Sidders","ENSG00000118260.15","protein_coding","CREB1",NA,"1385"
