"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"APM_Wang","ENSG00000100804.19","protein_coding","PSMB5",NA,"5693"
"APM_Wang","ENSG00000142507.10","protein_coding","PSMB6",NA,"5694"
"APM_Wang","ENSG00000136930.13","protein_coding","PSMB7",NA,"5695"
"APM_Wang","ENSG00000204264.12","protein_coding","PSMB8",NA,"5696"
"APM_Wang","ENSG00000240065.8","protein_coding","PSMB9",NA,"5698"
"APM_Wang","ENSG00000205220.12","protein_coding","PSMB10",NA,"5699"
"APM_Wang","ENSG00000168394.12","protein_coding","TAP1",NA,"6890"
"APM_Wang","ENSG00000204267.17","protein_coding","TAP2",NA,"6891"
"APM_Wang","ENSG00000164307.13","protein_coding","ERAP1",NA,"51752"
"APM_Wang","ENSG00000164308.17","protein_coding","ERAP2",NA,"64167"
"APM_Wang","ENSG00000127022.16","protein_coding","CANX",NA,"821"
"APM_Wang","ENSG00000179218.15","protein_coding","CALR",NA,"811"
"APM_Wang","ENSG00000167004.14","protein_coding","PDIA3",NA,"2923"
"APM_Wang","ENSG00000231925.13","protein_coding","TAPBP",NA,"6892"
"APM_Wang","ENSG00000166710.23","protein_coding","B2M",NA,"567"
"APM_Wang","ENSG00000206503.13","protein_coding","HLA-A",NA,"3105"
"APM_Wang","ENSG00000234745.14","protein_coding","HLA-B",NA,"3106"
"APM_Wang","ENSG00000204525.18","protein_coding","HLA-C",NA,"3107"
