"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"CD8_Sade-Feldman","ENSG00000168685.15","protein_coding","IL7R",NA,"3575"
"CD8_Sade-Feldman","ENSG00000169508.7","protein_coding","GPR183",NA,"1880"
"CD8_Sade-Feldman","ENSG00000160789.24","protein_coding","LMNA",NA,"4000"
"CD8_Sade-Feldman","ENSG00000119508.18","protein_coding","NR4A3",NA,"8013"
"CD8_Sade-Feldman","ENSG00000081059.20","protein_coding","TCF7",NA,"6932"
"CD8_Sade-Feldman","ENSG00000071073.13","protein_coding","MGAT4A",NA,"11320"
"CD8_Sade-Feldman","ENSG00000196352.18","protein_coding","CD55",NA,"1604"
"CD8_Sade-Feldman","ENSG00000112297.18","protein_coding","CRYBG1",NA,"202"
"CD8_Sade-Feldman","ENSG00000179094.16","protein_coding","PER1",NA,"5187"
"CD8_Sade-Feldman","ENSG00000075426.12","protein_coding","FOSL2",NA,"2355"
"CD8_Sade-Feldman","ENSG00000120738.8","protein_coding","EGR1",NA,"1958"
"CD8_Sade-Feldman","ENSG00000184205.14","protein_coding","TSPYL2",NA,"64061"
"CD8_Sade-Feldman","ENSG00000119801.13","protein_coding","YPEL5",NA,"51646"
"CD8_Sade-Feldman","ENSG00000144655.15","protein_coding","CSRNP1",NA,"64651"
"CD8_Sade-Feldman","ENSG00000162924.15","protein_coding","REL",NA,"5966"
"CD8_Sade-Feldman","ENSG00000136603.14","protein_coding","SKIL",NA,"6498"
"CD8_Sade-Feldman","ENSG00000145675.15","protein_coding","PIK3R1",NA,"5295"
"CD8_Sade-Feldman","ENSG00000114861.24","protein_coding","FOXP1",NA,"27086"
"CD8_Sade-Feldman","ENSG00000102760.13","protein_coding","RGCC",NA,"28984"
"CD8_Sade-Feldman","ENSG00000170525.21","protein_coding","PFKFB3",NA,"5209"
"CD8_Sade-Feldman","ENSG00000179820.16","protein_coding","MYADM",NA,"91663"
"CD8_Sade-Feldman","ENSG00000152518.8","protein_coding","ZFP36L2",NA,"678"
"CD8_Sade-Feldman","ENSG00000055483.20","protein_coding","USP36",NA,"57602"
"CD8_Sade-Feldman","ENSG00000165929.13","protein_coding","TC2N",NA,"123036"
"CD8_Sade-Feldman","ENSG00000151327.13","protein_coding","FAM177A1",NA,"283635"
"CD8_Sade-Feldman","ENSG00000159388.6","protein_coding","BTG2",NA,"7832"
"CD8_Sade-Feldman","ENSG00000196428.13","protein_coding","TSC22D2",NA,"9819"
"CD8_Sade-Feldman","ENSG00000111913.20","protein_coding","RIPOR2",NA,"9750"
"CD8_Sade-Feldman","ENSG00000138378.19","protein_coding","STAT4",NA,"6775"
"CD8_Sade-Feldman","ENSG00000015568.13","protein_coding","RGPD5",NA,"84220"
"CD8_Sade-Feldman","ENSG00000204386.12","protein_coding","NEU1",NA,"4758"
"CD8_Sade-Feldman","ENSG00000006652.15","protein_coding","IFRD1",NA,"3475"
"CD8_Sade-Feldman","ENSG00000184588.18","protein_coding","PDE4B",NA,"5142"
"CD8_Sade-Feldman","ENSG00000123358.20","protein_coding","NR4A1",NA,"3164"
