"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IMPRES_Auslander","ENSG00000186265.10","protein_coding","BTLA",-1,"151888"
"IMPRES_Auslander","ENSG00000107738.20","protein_coding","VSIR",-1,"64115"
"IMPRES_Auslander","ENSG00000091972.18","protein_coding","CD200",-1,"4345"
"IMPRES_Auslander","ENSG00000163606.11","protein_coding","CD200R1",-1,"131450"
"IMPRES_Auslander","ENSG00000139193.4","protein_coding","CD27",1,"939"
"IMPRES_Auslander","ENSG00000120217.14","protein_coding","CD274",-1,"29126"
"IMPRES_Auslander","ENSG00000103855.18","protein_coding","CD276",-1,"80381"
"IMPRES_Auslander","ENSG00000178562.18","protein_coding","CD28",1,"940"
"IMPRES_Auslander","ENSG00000101017.15","protein_coding","CD40",1,"958"
"IMPRES_Auslander","ENSG00000121594.12","protein_coding","CD80",-1,"941"
"IMPRES_Auslander","ENSG00000114013.16","protein_coding","CD86",-1,"942"
"IMPRES_Auslander","ENSG00000079385.23","protein_coding","CEACAM1",-1,"634"
"IMPRES_Auslander","ENSG00000163599.18","protein_coding","CTLA4",-1,"1493"
"IMPRES_Auslander","ENSG00000135077.10","protein_coding","HAVCR2",-1,"84868"
"IMPRES_Auslander","ENSG00000131203.13","protein_coding","IDO1",-1,"3620"
"IMPRES_Auslander","ENSG00000100385.14","protein_coding","IL2RB",1,"3560"
"IMPRES_Auslander","ENSG00000089692.9","protein_coding","LAG3",-1,"3902"
"IMPRES_Auslander","ENSG00000188389.11","protein_coding","PDCD1",-1,"5133"
"IMPRES_Auslander","ENSG00000197646.8","protein_coding","PDCD1LG2",-1,"80380"
"IMPRES_Auslander","ENSG00000073008.15","protein_coding","PVR",-1,"5817"
"IMPRES_Auslander","ENSG00000130202.10","protein_coding","NECTIN2",-1,"5819"
"IMPRES_Auslander","ENSG00000181847.12","protein_coding","TIGIT",-1,"201633"
"IMPRES_Auslander","ENSG00000157873.18","protein_coding","TNFRSF14",1,"8764"
"IMPRES_Auslander","ENSG00000186891.14","protein_coding","TNFRSF18",1,"8784"
"IMPRES_Auslander","ENSG00000186827.11","protein_coding","TNFRSF4",1,"7293"
"IMPRES_Auslander","ENSG00000049249.9","protein_coding","TNFRSF9",1,"3604"
"IMPRES_Auslander","ENSG00000117586.11","protein_coding","TNFSF4",1,"7292"
"IMPRES_Auslander","ENSG00000125657.5","protein_coding","TNFSF9",1,"8744"
