"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000113296.14","protein_coding","THBS4",NA,"7060"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000137573.14","protein_coding","SULF1",NA,"23213"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000137285.11","protein_coding","TUBB2B",NA,"347733"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000109805.10","protein_coding","NCAPG",NA,"64151"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000151491.14","protein_coding","EPS8",NA,"2059"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000153208.18","protein_coding","MERTK",NA,"10461"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000112992.18","protein_coding","NNT",NA,"23530"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000115414.21","protein_coding","FN1",NA,"2335"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000148848.15","protein_coding","ADAM12",NA,"8038"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000159167.12","protein_coding","STC1",NA,"6781"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000113810.16","protein_coding","SMC4",NA,"10051"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000213401.10","protein_coding","MAGEA12",NA,"4111"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000147536.12","protein_coding","GINS4",NA,"84296"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000132639.14","protein_coding","SNAP25",NA,"6616"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000151967.18","protein_coding","SCHIP1",NA,"29970"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000094804.12","protein_coding","CDC6",NA,"990"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000013810.21","protein_coding","TACC3",NA,"10460"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000123975.5","protein_coding","CKS2",NA,"1164"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000105220.17","protein_coding","GPI",NA,"2821"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000221867.9","protein_coding","MAGEA3",NA,"4102"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000153904.21","protein_coding","DDAH1",NA,"23576"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000105968.19","protein_coding","H2AZ2",NA,"94239"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000142945.13","protein_coding","KIF2C",NA,"11004"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000114503.11","protein_coding","NCBP2",NA,"22916"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000141526.18","protein_coding","SLC16A3",NA,"9123"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000197594.14","protein_coding","ENPP1",NA,"5167"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000196549.13","protein_coding","MME",NA,"4311"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000198682.13","protein_coding","PAPSS2",NA,"9060"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000117724.14","protein_coding","CENPF",NA,"1063"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000105976.16","protein_coding","MET",NA,"4233"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000149294.17","protein_coding","NCAM1",NA,"4684"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000182492.16","protein_coding","BGN",NA,"633"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000087586.18","protein_coding","AURKA",NA,"6790"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000118785.15","protein_coding","SPP1",NA,"6696"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000152952.12","protein_coding","PLOD2",NA,"5352"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000197172.11","protein_coding","MAGEA6",NA,NA
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000170502.13","protein_coding","NUDT9",NA,"53343"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000143476.18","protein_coding","DTL",NA,"51514"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000065882.17","protein_coding","TBC1D1",NA,"23216"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000071794.16","protein_coding","HLTF",NA,"6596"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000211899.10","IG_C_gene","IGHM",NA,NA
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000154277.13","protein_coding","UCHL1",NA,"7345"
"IPRES_Hugo","JAEGER_METASTASIS_UP","ENSG00000171848.16","protein_coding","RRM2",NA,"6241"
