"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"MPS_Guijarro","ENSG00000196139.14","protein_coding","AKR1C3",1,"8644"
"MPS_Guijarro","ENSG00000168487.20","protein_coding","BMP1",1,"649"
"MPS_Guijarro","ENSG00000095713.14","protein_coding","CRTAC1",1,"55118"
"MPS_Guijarro","ENSG00000171551.12","protein_coding","ECEL1",1,"9427"
"MPS_Guijarro","ENSG00000187672.14","protein_coding","ERC2",1,"26059"
"MPS_Guijarro","ENSG00000184731.6","protein_coding","FAM110C",1,"642273"
"MPS_Guijarro","ENSG00000172461.11","protein_coding","FUT9",1,"10690"
"MPS_Guijarro","ENSG00000151834.16","protein_coding","GABRA2",1,"2555"
"MPS_Guijarro","ENSG00000172020.13","protein_coding","GAP43",1,"2596"
"MPS_Guijarro","ENSG00000166923.12","protein_coding","GREM1",1,"26585"
"MPS_Guijarro","ENSG00000002746.15","protein_coding","HECW1",1,"23072"
"MPS_Guijarro","ENSG00000150361.12","protein_coding","KLHL1",1,"57626"
"MPS_Guijarro","ENSG00000187242.6","protein_coding","KRT12",1,"3859"
"MPS_Guijarro","ENSG00000156959.9","protein_coding","LHFPL4",1,"375323"
"MPS_Guijarro","ENSG00000277586.4","protein_coding","NEFL",1,"4747"
"MPS_Guijarro","ENSG00000104722.14","protein_coding","NEFM",1,"4741"
"MPS_Guijarro","ENSG00000166342.19","protein_coding","NETO1",1,"81832"
"MPS_Guijarro","ENSG00000125820.6","protein_coding","NKX2-2",1,"4821"
"MPS_Guijarro","ENSG00000170091.11","protein_coding","NSG2",1,"51617"
"MPS_Guijarro","ENSG00000145247.12","protein_coding","OCIAD2",1,"132299"
"MPS_Guijarro","ENSG00000163982.6","protein_coding","OTOP1",1,"133060"
"MPS_Guijarro","ENSG00000152270.9","protein_coding","PDE3B",1,"5140"
"MPS_Guijarro","ENSG00000155093.19","protein_coding","PTPRN2",1,"5799"
"MPS_Guijarro","ENSG00000196090.13","protein_coding","PTPRT",1,"11122"
"MPS_Guijarro","ENSG00000197046.12","protein_coding","SIGLEC15",1,"284266"
"MPS_Guijarro","ENSG00000141485.17","protein_coding","SLC13A5",1,"284111"
"MPS_Guijarro","ENSG00000115616.3","protein_coding","SLC9A2",1,"6549"
"MPS_Guijarro","ENSG00000184564.11","protein_coding","SLITRK6",1,"84189"
"MPS_Guijarro","ENSG00000065609.15","protein_coding","SNAP91",1,"9892"
"MPS_Guijarro","ENSG00000140022.14","protein_coding","STON2",1,"85439"
"MPS_Guijarro","ENSG00000006128.12","protein_coding","TAC1",1,"6863"
"MPS_Guijarro","ENSG00000171724.3","protein_coding","VAT1L",1,"57687"
"MPS_Guijarro","ENSG00000114251.15","protein_coding","WNT5A",1,"7474"
"MPS_Guijarro","ENSG00000180318.4","protein_coding","ALX1",-1,"8092"
"MPS_Guijarro","ENSG00000166164.16","protein_coding","BRD7",-1,"29117"
"MPS_Guijarro","ENSG00000125821.13","protein_coding","DTD1",-1,"92675"
"MPS_Guijarro","ENSG00000132463.15","protein_coding","GRSF1",-1,"2926"
"MPS_Guijarro","ENSG00000164588.8","protein_coding","HCN1",-1,"348980"
"MPS_Guijarro","ENSG00000111144.10","protein_coding","LTA4H",-1,"4048"
"MPS_Guijarro","ENSG00000083720.13","protein_coding","OXCT1",-1,"5019"
"MPS_Guijarro","ENSG00000132849.22","protein_coding","PATJ",-1,"10207"
"MPS_Guijarro","ENSG00000136040.9","protein_coding","PLXNC1",-1,"10154"
"MPS_Guijarro","ENSG00000130511.16","protein_coding","SSBP4",-1,"170463"
"MPS_Guijarro","ENSG00000100726.15","protein_coding","TELO2",-1,"9894"
"MPS_Guijarro","ENSG00000144120.13","protein_coding","TMEM177",-1,"80775"
