"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"Tcell-exclusion_Arnon","ENSG00000138363.15","protein_coding","ATIC",1,"471"
"Tcell-exclusion_Arnon","ENSG00000145741.17","protein_coding","BTF3",1,"689"
"Tcell-exclusion_Arnon","ENSG00000106153.13","protein_coding","CHCHD2",1,"51142"
"Tcell-exclusion_Arnon","ENSG00000254772.10","protein_coding","EEF1G",1,"1937"
"Tcell-exclusion_Arnon","ENSG00000130811.12","protein_coding","EIF3G",1,"8666"
"Tcell-exclusion_Arnon","ENSG00000149100.13","protein_coding","EIF3M",1,"10480"
"Tcell-exclusion_Arnon","ENSG00000161960.16","protein_coding","EIF4A1",1,"1973"
"Tcell-exclusion_Arnon","ENSG00000074800.16","protein_coding","ENO1",1,"2023"
"Tcell-exclusion_Arnon","ENSG00000178896.9","protein_coding","EXOSC4",1,"54512"
"Tcell-exclusion_Arnon","ENSG00000179115.11","protein_coding","FARSA",1,"2193"
"Tcell-exclusion_Arnon","ENSG00000111640.15","protein_coding","GAPDH",1,"2597"
"Tcell-exclusion_Arnon","ENSG00000130600.20","lncRNA","H19",1,"283120"
"Tcell-exclusion_Arnon","ENSG00000135486.19","protein_coding","HNRNPA1",1,"3178"
"Tcell-exclusion_Arnon","ENSG00000130332.15","protein_coding","LSM7",1,"51690"
"Tcell-exclusion_Arnon","ENSG00000147381.12","protein_coding","MAGEA4",1,"4103"
"Tcell-exclusion_Arnon","ENSG00000155495.9","protein_coding","MAGEC1",1,"9947"
"Tcell-exclusion_Arnon","ENSG00000146701.12","protein_coding","MDH2",1,"4191"
"Tcell-exclusion_Arnon","ENSG00000155438.12","protein_coding","NIFK",1,"84365"
"Tcell-exclusion_Arnon","ENSG00000213190.4","protein_coding","MLLT11",1,"10962"
"Tcell-exclusion_Arnon","ENSG00000062582.14","protein_coding","MRPS24",1,"64951"
"Tcell-exclusion_Arnon","ENSG00000196531.14","protein_coding","NACA",1,"4666"
"Tcell-exclusion_Arnon","ENSG00000147684.10","protein_coding","NDUFB9",1,"4715"
"Tcell-exclusion_Arnon","ENSG00000239672.8","protein_coding","NME1",1,"4830"
"Tcell-exclusion_Arnon","ENSG00000134986.14","protein_coding","NREP",1,"9315"
"Tcell-exclusion_Arnon","ENSG00000236552.2","processed_pseudogene","RPL13AP5",1,"728658"
"Tcell-exclusion_Arnon","ENSG00000105640.13","protein_coding","RPL18A",1,"6142"
"Tcell-exclusion_Arnon","ENSG00000108298.12","protein_coding","RPL19",1,"6143"
"Tcell-exclusion_Arnon","ENSG00000161970.15","protein_coding","RPL26",1,"6154"
"Tcell-exclusion_Arnon","ENSG00000166441.13","protein_coding","RPL27A",1,"6157"
"Tcell-exclusion_Arnon","ENSG00000071082.11","protein_coding","RPL31",1,"6160"
"Tcell-exclusion_Arnon","ENSG00000144713.13","protein_coding","RPL32",1,"6161"
"Tcell-exclusion_Arnon","ENSG00000182899.17","protein_coding","RPL35A",1,"6165"
"Tcell-exclusion_Arnon","ENSG00000130255.13","protein_coding","RPL36",1,"25873"
