signature_name,gene_id,gene_type,gene_name,weight
Response_Ivy,NA,NA,MOBKL2A,NA
Response_Ivy,ENSG00000103522.16,protein_coding,IL21R,NA
Response_Ivy,ENSG00000107551.21,protein_coding,RASSF4,NA
Response_Ivy,ENSG00000134516.20,protein_coding,DOCK2,NA
Response_Ivy,ENSG00000169442.9,protein_coding,CD52,NA
Response_Ivy,ENSG00000102245.9,protein_coding,CD40LG,NA
Response_Ivy,ENSG00000121281.13,protein_coding,ADCY7,NA
Response_Ivy,ENSG00000100721.11,protein_coding,TCL1A,NA
Response_Ivy,ENSG00000015285.11,protein_coding,WAS,NA
Response_Ivy,ENSG00000110719.10,protein_coding,TCIRG1,NA
Response_Ivy,ENSG00000123329.20,protein_coding,ARHGAP9,NA
Response_Ivy,ENSG00000128340.15,protein_coding,RAC2,NA
Response_Ivy,ENSG00000165025.15,protein_coding,SYK,NA
Response_Ivy,ENSG00000182866.17,protein_coding,LCK,NA
Response_Ivy,ENSG00000100092.24,protein_coding,SH3BP1,NA
Response_Ivy,ENSG00000170581.14,protein_coding,STAT2,NA
Response_Ivy,NA,NA,TRV3J34,NA
Response_Ivy,ENSG00000140968.12,protein_coding,IRF8,NA
Response_Ivy,ENSG00000168016.15,protein_coding,TRANK1,NA
Response_Ivy,ENSG00000100298.16,protein_coding,APOBEC3H,NA
Response_Ivy,ENSG00000163519.14,protein_coding,TRAT1,NA
Response_Ivy,ENSG00000095370.20,protein_coding,SH2D3C,NA
Response_Ivy,NA,NA,DKFZp666C094,NA
Response_Ivy,ENSG00000163687.14,protein_coding,DNASE1L3,NA
Response_Ivy,ENSG00000225783.9,lncRNA,MIAT,NA
Response_Ivy,ENSG00000132530.17,protein_coding,XAF1,NA
Response_Ivy,ENSG00000159110.21,protein_coding,IFNAR2,NA
Response_Ivy,ENSG00000143119.14,protein_coding,CD53,NA
Response_Ivy,ENSG00000181804.15,protein_coding,SLC9A9,NA
Response_Ivy,ENSG00000105122.13,protein_coding,RASAL3,NA
Response_Ivy,ENSG00000137478.15,protein_coding,FCHSD2,NA
Response_Ivy,ENSG00000204257.15,protein_coding,HLA-DMA,NA
Response_Ivy,ENSG00000071246.11,protein_coding,VASH1,NA
Response_Ivy,ENSG00000125735.11,protein_coding,TNFSF14,NA
Response_Ivy,ENSG00000010810.17,protein_coding,FYN,NA
Response_Ivy,ENSG00000160856.21,protein_coding,FCRL3,NA
Response_Ivy,ENSG00000240505.9,protein_coding,TNFRSF13B,NA
Response_Ivy,ENSG00000204482.11,protein_coding,LST1,NA
Response_Ivy,ENSG00000186827.11,protein_coding,TNFRSF4,NA
Response_Ivy,ENSG00000028277.22,protein_coding,POU2F2,NA
Response_Ivy,ENSG00000166278.16,protein_coding,C2,NA
Response_Ivy,ENSG00000154822.18,protein_coding,PLCL2,NA
Response_Ivy,ENSG00000108622.11,protein_coding,ICAM2,NA
Response_Ivy,ENSG00000147065.17,protein_coding,MSN,NA
Response_Ivy,ENSG00000130203.10,protein_coding,APOE,NA
Response_Ivy,ENSG00000171700.14,protein_coding,RGS19,NA
Response_Ivy,ENSG00000007312.13,protein_coding,CD79B,NA
Response_Ivy,ENSG00000104921.15,protein_coding,FCER2,NA
Response_Ivy,ENSG00000165168.9,protein_coding,CYBB,NA
Response_Ivy,NA,NA,HUAT,NA
Response_Ivy,ENSG00000076928.18,protein_coding,ARHGEF1,NA
Response_Ivy,ENSG00000164136.17,protein_coding,IL15,NA
Response_Ivy,ENSG00000012124.17,protein_coding,CD22,NA
Response_Ivy,ENSG00000164483.17,protein_coding,SAMD3,NA
Response_Ivy,ENSG00000127152.18,protein_coding,BCL11B,NA
Response_Ivy,ENSG00000117322.18,protein_coding,CR2,NA
Response_Ivy,ENSG00000226979.9,protein_coding,LTA,NA
Response_Ivy,ENSG00000204592.9,protein_coding,HLA-E,NA
Response_Ivy,ENSG00000136630.13,protein_coding,HLX,NA
Response_Ivy,ENSG00000223865.11,protein_coding,HLA-DPB1,NA
Response_Ivy,ENSG00000182578.14,protein_coding,CSF1R,NA
Response_Ivy,ENSG00000089639.11,protein_coding,GMIP,NA
Response_Ivy,ENSG00000007237.19,protein_coding,GAS7,NA
Response_Ivy,ENSG00000142634.13,protein_coding,EFHD2,NA
Response_Ivy,ENSG00000114353.17,protein_coding,GNAI2,NA
Response_Ivy,ENSG00000160654.11,protein_coding,CD3G,NA
Response_Ivy,ENSG00000161955.17,protein_coding,TNFSF13,NA
Response_Ivy,ENSG00000239713.9,protein_coding,APOBEC3G,NA
Response_Ivy,ENSG00000074966.11,protein_coding,TXK,NA
Response_Ivy,ENSG00000139193.4,protein_coding,CD27,NA
Response_Ivy,ENSG00000163568.16,protein_coding,AIM2,NA
Response_Ivy,ENSG00000069206.15,protein_coding,ADAM7,NA
Response_Ivy,ENSG00000113088.6,protein_coding,GZMK,NA
Response_Ivy,ENSG00000131378.14,protein_coding,RFTN1,NA
Response_Ivy,ENSG00000180353.11,protein_coding,HCLS1,NA
Response_Ivy,ENSG00000124191.18,protein_coding,TOX2,NA
Response_Ivy,ENSG00000213402.3,protein_coding,PTPRCAP,NA
Response_Ivy,ENSG00000103064.15,protein_coding,SLC7A6,NA
Response_Ivy,NA,NA,C1orf228,NA
Response_Ivy,ENSG00000111801.16,protein_coding,BTN3A3,NA
Response_Ivy,ENSG00000159189.13,protein_coding,C1QC,NA
Response_Ivy,ENSG00000020633.19,protein_coding,RUNX3,NA
Response_Ivy,NA,NA,LOC643733,NA
Response_Ivy,NA,NA,AI349750,NA
Response_Ivy,ENSG00000091490.11,protein_coding,SEL1L3,NA
Response_Ivy,ENSG00000172794.20,protein_coding,RAB37,NA
Response_Ivy,ENSG00000158481.13,protein_coding,CD1C,NA
Response_Ivy,ENSG00000077454.17,protein_coding,LRCH4,NA
Response_Ivy,ENSG00000154451.15,protein_coding,GBP5,NA
Response_Ivy,ENSG00000023892.11,protein_coding,DEF6,NA
Response_Ivy,ENSG00000126264.10,protein_coding,HCST,NA
Response_Ivy,ENSG00000167286.11,protein_coding,CD3D,NA
Response_Ivy,NA,NA,AMICA1,NA
Response_Ivy,ENSG00000143297.19,protein_coding,FCRL5,NA
Response_Ivy,ENSG00000075884.14,protein_coding,ARHGAP15,NA
Response_Ivy,ENSG00000174600.14,protein_coding,CMKLR1,NA
Response_Ivy,ENSG00000135905.20,protein_coding,DOCK10,NA
Response_Ivy,NA,NA,GVIN1,NA
Response_Ivy,ENSG00000166128.13,protein_coding,RAB8B,NA
Response_Ivy,ENSG00000134539.17,protein_coding,KLRD1,NA
Response_Ivy,ENSG00000012779.12,protein_coding,ALOX5,NA
Response_Ivy,ENSG00000198851.10,protein_coding,CD3E,NA
Response_Ivy,ENSG00000110047.18,protein_coding,EHD1,NA
Response_Ivy,ENSG00000186818.13,protein_coding,LILRB4,NA
Response_Ivy,ENSG00000107317.13,protein_coding,PTGDS,NA
