"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000166825.15","protein_coding","ANPEP",NA,"290"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000182492.16","protein_coding","BGN",NA,"633"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000125378.16","protein_coding","BMP4",NA,"652"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000179776.19","protein_coding","CDH5",NA,"1003"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000168542.16","protein_coding","COL3A1",NA,"1281"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000142871.18","protein_coding","CCN1",NA,"3491"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000128917.8","protein_coding","DLL4",NA,"54567"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000078401.7","protein_coding","EDN1",NA,"1906"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000164035.10","protein_coding","EMCN",NA,"51705"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000125968.9","protein_coding","ID1",NA,"3397"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000128052.10","protein_coding","KDR",NA,"3791"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000099250.18","protein_coding","NRP1",NA,"8829"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000122861.16","protein_coding","PLAU",NA,"5328"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000162407.9","protein_coding","PLPP3",NA,"8613"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000163421.9","protein_coding","PROK2",NA,"60675"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000167157.11","protein_coding","PRRX2",NA,"51450"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000143878.10","protein_coding","RHOB",NA,"388"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000154133.15","protein_coding","ROBO4",NA,"54538"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000164736.6","protein_coding","SOX17",NA,"64321"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000203883.7","protein_coding","SOX18",NA,"54345"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000092969.12","protein_coding","TGFB2",NA,"7042"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000137801.11","protein_coding","THBS1",NA,"7057"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000154096.14","protein_coding","THY1",NA,"7070"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000112715.26","protein_coding","VEGFA",NA,"7422"
"IPRES_Hugo","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000150630.4","protein_coding","VEGFC",NA,"7424"
