"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000102678.7","protein_coding","FGF9",NA,"2254"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000119630.14","protein_coding","PGF",NA,"5228"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000143556.9","protein_coding","S100A7",NA,"6278"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000197461.13","protein_coding","PDGFA",NA,"5154"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000006327.14","protein_coding","TNFRSF12A",NA,"51330"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000078401.7","protein_coding","EDN1",NA,"1906"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000166825.15","protein_coding","ANPEP",NA,"290"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000167157.11","protein_coding","PRRX2",NA,"51450"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000112658.8","protein_coding","SRF",NA,"6722"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000179776.19","protein_coding","CDH5",NA,"1003"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000092969.12","protein_coding","TGFB2",NA,"7042"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000107338.10","protein_coding","SHB",NA,"6461"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000164107.9","protein_coding","HAND2",NA,"9464"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000100292.18","protein_coding","HMOX1",NA,"3162"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000154133.15","protein_coding","ROBO4",NA,"54538"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000143878.10","protein_coding","RHOB",NA,"388"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000125538.12","protein_coding","IL1B",NA,"3553"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000203883.7","protein_coding","SOX18",NA,"54345"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000164736.6","protein_coding","SOX17",NA,"64321"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000137801.11","protein_coding","THBS1",NA,"7057"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000091879.14","protein_coding","ANGPT2",NA,"285"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000162407.9","protein_coding","PLPP3",NA,"8613"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000142871.18","protein_coding","CCN1",NA,"3491"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000125378.16","protein_coding","BMP4",NA,"652"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000102554.14","protein_coding","KLF5",NA,"688"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000102755.12","protein_coding","FLT1",NA,"2321"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000171223.6","protein_coding","JUNB",NA,"3726"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000145147.20","protein_coding","SLIT2",NA,"9353"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000128052.10","protein_coding","KDR",NA,"3791"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000163421.9","protein_coding","PROK2",NA,"60675"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000150630.4","protein_coding","VEGFC",NA,"7424"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000182492.16","protein_coding","BGN",NA,"633"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000106511.6","protein_coding","MEOX2",NA,"4223"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000124882.4","protein_coding","EREG",NA,"2069"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000125968.9","protein_coding","ID1",NA,"3397"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000070495.15","protein_coding","JMJD6",NA,"23210"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000128917.8","protein_coding","DLL4",NA,"54567"
"IPRES_Hugo","EP_BLOOD_VESS_DEVEL_DN_IN_R","ENSG00000112715.26","protein_coding","VEGFA",NA,"7422"
