"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000165424.7","protein_coding","ZCCHC24",NA,219654
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000095752.7","protein_coding","IL11",NA,3589
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000182901.18","protein_coding","RGS7",NA,6000
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000153721.19","protein_coding","CNKSR3",NA,154043
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000038382.21","protein_coding","TRIO",NA,7204
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000134013.16","protein_coding","LOXL2",NA,4017
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000173852.16","protein_coding","DPY19L1",NA,23333
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000060982.15","protein_coding","BCAT1",NA,586
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000180537.13","protein_coding","RNF182",NA,221687
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000082146.13","protein_coding","STRADB",NA,55437
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000165801.10","protein_coding","ARHGEF40",NA,55701
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000171951.5","protein_coding","SCG2",NA,7857
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000142173.16","protein_coding","COL6A2",NA,1292
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000152818.19","protein_coding","UTRN",NA,7402
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000131323.16","protein_coding","TRAF3",NA,7187
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000112183.15","protein_coding","RBM24",NA,221662
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000156103.16","protein_coding","MMP16",NA,4325
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000074590.14","protein_coding","NUAK1",NA,9891
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000111252.11","protein_coding","SH2B3",NA,10019
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000140931.20","protein_coding","CMTM3",NA,123920
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000067057.18","protein_coding","PFKP",NA,5214
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000168779.21","protein_coding","SHOX2",NA,6474
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000154027.19","protein_coding","AK5",NA,26289
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000148516.23","protein_coding","ZEB1",NA,6935
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000240694.9","protein_coding","PNMA2",NA,10687
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000075213.11","protein_coding","SEMA3A",NA,10371
"IPRES_Hugo","CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN","ENSG00000131711.15","protein_coding","MAP1B",NA,4131
