"","signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"1","IPRES","HOEK_INVASIVE_SIG","ENSG00000148848.15","protein_coding","ADAM12",NA
"2","IPRES","HOEK_INVASIVE_SIG","ENSG00000114019.15","protein_coding","AMOTL2",NA
"3","IPRES","HOEK_INVASIVE_SIG","ENSG00000167601.12","protein_coding","AXL",NA
"4","IPRES","HOEK_INVASIVE_SIG","ENSG00000023445.16","protein_coding","BIRC3",NA
"5","IPRES","HOEK_INVASIVE_SIG","ENSG00000140945.17","protein_coding","CDH13",NA
"6","IPRES","HOEK_INVASIVE_SIG","ENSG00000058091.17","protein_coding","CDK14",NA
"7","IPRES","HOEK_INVASIVE_SIG","ENSG00000197467.17","protein_coding","COL13A1",NA
"8","IPRES","HOEK_INVASIVE_SIG","ENSG00000150938.10","protein_coding","CRIM1",NA
"9","IPRES","HOEK_INVASIVE_SIG","ENSG00000103196.12","protein_coding","CRISPLD2",NA
"10","IPRES","HOEK_INVASIVE_SIG",NA,NA,"CYR61",NA
"11","IPRES","HOEK_INVASIVE_SIG","ENSG00000188641.14","protein_coding","DPYD",NA
"12","IPRES","HOEK_INVASIVE_SIG","ENSG00000115380.20","protein_coding","EFEMP1",NA
"13","IPRES","HOEK_INVASIVE_SIG","ENSG00000146648.20","protein_coding","EGFR",NA
"14","IPRES","HOEK_INVASIVE_SIG","ENSG00000164251.5","protein_coding","F2RL1",NA
"15","IPRES","HOEK_INVASIVE_SIG","ENSG00000138685.17","protein_coding","FGF2",NA
"16","IPRES","HOEK_INVASIVE_SIG","ENSG00000136068.16","protein_coding","FLNB",NA
"17","IPRES","HOEK_INVASIVE_SIG","ENSG00000251493.5","protein_coding","FOXD1",NA
"18","IPRES","HOEK_INVASIVE_SIG","ENSG00000134363.12","protein_coding","FST",NA
"19","IPRES","HOEK_INVASIVE_SIG","ENSG00000180340.7","protein_coding","FZD2",NA
"20","IPRES","HOEK_INVASIVE_SIG","ENSG00000173706.14","protein_coding","HEG1",NA
"21","IPRES","HOEK_INVASIVE_SIG","ENSG00000153976.3","protein_coding","HS3ST3A1",NA
"22","IPRES","HOEK_INVASIVE_SIG","ENSG00000164171.11","protein_coding","ITGA2",NA
"23","IPRES","HOEK_INVASIVE_SIG","ENSG00000005884.18","protein_coding","ITGA3",NA
"24","IPRES","HOEK_INVASIVE_SIG","ENSG00000156113.24","protein_coding","KCNMA1",NA
"25","IPRES","HOEK_INVASIVE_SIG","ENSG00000134013.16","protein_coding","LOXL2",NA
"26","IPRES","HOEK_INVASIVE_SIG","ENSG00000138119.17","protein_coding","MYOF",NA
"27","IPRES","HOEK_INVASIVE_SIG","ENSG00000099250.18","protein_coding","NRP1",NA
"28","IPRES","HOEK_INVASIVE_SIG","ENSG00000182667.15","protein_coding","NTM",NA
"29","IPRES","HOEK_INVASIVE_SIG","ENSG00000074590.14","protein_coding","NUAK1",NA
"30","IPRES","HOEK_INVASIVE_SIG","ENSG00000145623.13","protein_coding","OSMR",NA
"31","IPRES","HOEK_INVASIVE_SIG","ENSG00000145431.11","protein_coding","PDGFC",NA
"32","IPRES","HOEK_INVASIVE_SIG","ENSG00000128567.17","protein_coding","PODXL",NA
"33","IPRES","HOEK_INVASIVE_SIG","ENSG00000196754.13","protein_coding","S100A2",NA
"34","IPRES","HOEK_INVASIVE_SIG","ENSG00000197208.6","protein_coding","SLC22A4",NA
"35","IPRES","HOEK_INVASIVE_SIG","ENSG00000145147.20","protein_coding","SLIT2",NA
"36","IPRES","HOEK_INVASIVE_SIG","ENSG00000078269.15","protein_coding","SYNJ2",NA
"37","IPRES","HOEK_INVASIVE_SIG","ENSG00000196628.20","protein_coding","TCF4",NA
"38","IPRES","HOEK_INVASIVE_SIG","ENSG00000137801.11","protein_coding","THBS1",NA
"39","IPRES","HOEK_INVASIVE_SIG","ENSG00000106829.20","protein_coding","TLE4",NA
"40","IPRES","HOEK_INVASIVE_SIG","ENSG00000164761.9","protein_coding","TNFRSF11B",NA
"41","IPRES","HOEK_INVASIVE_SIG","ENSG00000146242.9","protein_coding","TPBG",NA
"42","IPRES","HOEK_INVASIVE_SIG","ENSG00000140416.23","protein_coding","TPM1",NA
"43","IPRES","HOEK_INVASIVE_SIG","ENSG00000065308.5","protein_coding","TRAM2",NA
"44","IPRES","HOEK_INVASIVE_SIG","ENSG00000114251.15","protein_coding","WNT5A",NA
"45","IPRES","HOEK_INVASIVE_SIG","ENSG00000148516.23","protein_coding","ZEB1",NA
