"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000137801.11","protein_coding","THBS1",NA,"7057"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000101972.20","protein_coding","STAG2",NA,"10735"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000100234.12","protein_coding","TIMP3",NA,"7078"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000118762.8","protein_coding","PKD2",NA,"5311"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000170801.10","protein_coding","HTRA3",NA,"94031"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000113140.11","protein_coding","SPARC",NA,"6678"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000079102.16","protein_coding","RUNX1T1",NA,"862"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000121068.14","protein_coding","TBX2",NA,"6909"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000197461.13","protein_coding","PDGFA",NA,"5154"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000132321.17","protein_coding","IQCA1",NA,"79781"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000167460.17","protein_coding","TPM4",NA,"7171"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000134853.12","protein_coding","PDGFRA",NA,"5156"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000152049.7","protein_coding","KCNE4",NA,"23704"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000139329.5","protein_coding","LUM",NA,"4060"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000163132.8","protein_coding","MSX1",NA,"4487"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000133110.15","protein_coding","POSTN",NA,"10631"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000164176.13","protein_coding","EDIL3",NA,"10085"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000058272.19","protein_coding","PPP1R12A",NA,"4659"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000186340.17","protein_coding","THBS2",NA,"7058"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000167244.22","protein_coding","IGF2",NA,"3481"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000145423.5","protein_coding","SFRP2",NA,"6423"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000106538.10","protein_coding","RARRES2",NA,"5919"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000156103.16","protein_coding","MMP16",NA,"4325"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000154736.6","protein_coding","ADAMTS5",NA,"11096"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000116132.12","protein_coding","PRRX1",NA,"5396"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000185624.16","protein_coding","P4HB",NA,"5034"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000122592.8","protein_coding","HOXA7",NA,"3204"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000182871.16","protein_coding","COL18A1",NA,"80781"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000084636.18","protein_coding","COL16A1",NA,"1307"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000106483.12","protein_coding","SFRP4",NA,"6424"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000143549.21","protein_coding","TPM3",NA,"7170"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000162576.17","protein_coding","MXRA8",NA,"54587"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000076706.17","protein_coding","MCAM",NA,"4162"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000172738.13","protein_coding","TMEM217",NA,"221468"
"IPRES_Hugo","LIEN_BREAST_CARCINOMA_METAPLASTIC","ENSG00000157766.19","protein_coding","ACAN",NA,"176"
