"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000011422.12","protein_coding","PLAUR",NA,"5329"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000102144.15","protein_coding","PGK1",NA,"5230"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000177606.8","protein_coding","JUN",NA,"3725"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000112715.26","protein_coding","VEGFA",NA,"7422"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000079246.16","protein_coding","XRCC5",NA,"7520"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000104237.11","protein_coding","RP1",NA,"6101"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000100644.17","protein_coding","HIF1A",NA,"3091"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000107159.14","protein_coding","CA9",NA,"768"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000119630.14","protein_coding","PGF",NA,"5228"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000176171.12","protein_coding","BNIP3",NA,"664"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000067225.20","protein_coding","PKM",NA,"5315"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000149925.22","protein_coding","ALDOA",NA,"226"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000104765.16","protein_coding","BNIP3L",NA,"665"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000134107.5","protein_coding","BHLHE40",NA,"8553"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000019991.18","protein_coding","HGF",NA,"3082"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000160180.17","protein_coding","TFF3",NA,"7033"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000074800.16","protein_coding","ENO1",NA,"2023"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000159399.10","protein_coding","HK2",NA,"3099"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000117525.14","protein_coding","F3",NA,"2152"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000047457.14","protein_coding","CP",NA,"1356"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000118785.15","protein_coding","SPP1",NA,"6696"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000170345.10","protein_coding","FOS",NA,"2353"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000100292.18","protein_coding","HMOX1",NA,"3162"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000175197.13","protein_coding","DDIT3",NA,"1649"
"IPRES_Hugo","HARRIS_HYPOXIA","ENSG00000048052.24","protein_coding","HDAC9",NA,"9734"
