"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPSOV_Shen","Antimicrobials","ENSG00000163631.17","protein_coding","ALB",NA,213
"IPSOV_Shen","Antimicrobials","ENSG00000103569.10","protein_coding","AQP9",NA,366
"IPSOV_Shen","Antimicrobials","ENSG00000166710.23","protein_coding","B2M",NA,567
"IPSOV_Shen","Antimicrobials","ENSG00000089685.15","protein_coding","BIRC5",NA,332
"IPSOV_Shen","Antimicrobials","ENSG00000181374.8","protein_coding","CCL13",NA,6357
"IPSOV_Shen","Antimicrobials","ENSG00000181374.8","protein_coding","CCL13",NA,6357
"IPSOV_Shen","Antimicrobials","ENSG00000275385.2","protein_coding","CCL18",NA,6362
"IPSOV_Shen","Antimicrobials","ENSG00000126353.3","protein_coding","CCR7",NA,1236
"IPSOV_Shen","Antimicrobials","ENSG00000156234.8","protein_coding","CXCL13",NA,10563
"IPSOV_Shen","Antimicrobials","ENSG00000138755.6","protein_coding","CXCL9",NA,4283
"IPSOV_Shen","Antimicrobials","ENSG00000083799.18","protein_coding","CYLD",NA,1540
"IPSOV_Shen","Antimicrobials","ENSG00000175084.13","protein_coding","DES",NA,1674
"IPSOV_Shen","Antimicrobials","ENSG00000187908.20","protein_coding","DMBT1",NA,1755
"IPSOV_Shen","Antimicrobials","ENSG00000181104.7","protein_coding","F2R",NA,2149
"IPSOV_Shen","Antimicrobials","ENSG00000164434.12","protein_coding","FABP7",NA,2173
"IPSOV_Shen","Antimicrobials","ENSG00000140564.13","protein_coding","FURIN",NA,5045
"IPSOV_Shen","Antimicrobials","ENSG00000019991.18","protein_coding","HGF",NA,3082
"IPSOV_Shen","Antimicrobials","ENSG00000112115.7","protein_coding","IL17A",NA,3605
"IPSOV_Shen","Antimicrobials","ENSG00000128604.20","protein_coding","IRF5",NA,3663
"IPSOV_Shen","Antimicrobials","ENSG00000177606.8","protein_coding","JUN",NA,3725
"IPSOV_Shen","Antimicrobials","ENSG00000011201.12","protein_coding","ANOS1",NA,3730
"IPSOV_Shen","Antimicrobials","ENSG00000129988.6","protein_coding","LBP",NA,3929
"IPSOV_Shen","Antimicrobials","ENSG00000049323.16","protein_coding","LTBP1",NA,4052
"IPSOV_Shen","Antimicrobials","ENSG00000169032.11","protein_coding","MAP2K1",NA,5604
"IPSOV_Shen","Antimicrobials","ENSG00000186868.17","protein_coding","MAPT",NA,4137
"IPSOV_Shen","Antimicrobials","ENSG00000127241.18","protein_coding","MASP1",NA,5648
"IPSOV_Shen","Antimicrobials","ENSG00000240972.2","protein_coding","MIF",NA,4282
"IPSOV_Shen","Antimicrobials","ENSG00000100985.7","protein_coding","MMP9",NA,4318
"IPSOV_Shen","Antimicrobials","ENSG00000100985.7","protein_coding","MMP9",NA,4318
"IPSOV_Shen","Antimicrobials","ENSG00000038945.15","protein_coding","MSR1",NA,4481
"IPSOV_Shen","Antimicrobials","ENSG00000109320.13","protein_coding","NFKB1",NA,4790
"IPSOV_Shen","Antimicrobials","ENSG00000160703.16","protein_coding","NLRX1",NA,79671
"IPSOV_Shen","Antimicrobials","ENSG00000122136.14","protein_coding","OBP2A",NA,29991
"IPSOV_Shen","Antimicrobials","ENSG00000122133.17","protein_coding","PAEP",NA,5047
"IPSOV_Shen","Antimicrobials","ENSG00000008438.5","protein_coding","PGLYRP1",NA,8993
"IPSOV_Shen","Antimicrobials","ENSG00000124102.5","protein_coding","PI3",NA,5266
"IPSOV_Shen","Antimicrobials","ENSG00000169385.3","protein_coding","RNASE2",NA,6036
"IPSOV_Shen","Antimicrobials","ENSG00000196420.8","protein_coding","S100A5",NA,6276
"IPSOV_Shen","Antimicrobials","ENSG00000136011.15","protein_coding","STAB2",NA,55576
"IPSOV_Shen","Antimicrobials","ENSG00000154620.6","protein_coding","TMSB4Y",NA,9087
"IPSOV_Shen","Antimicrobials","ENSG00000120659.15","protein_coding","TNFSF11",NA,8600
"IPSOV_Shen","Antimicrobials","ENSG00000204713.11","protein_coding","TRIM27",NA,5987
"IPSOV_Shen","Antimicrobials","ENSG00000111424.12","protein_coding","VDR",NA,7421
