"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000282608.2","protein_coding","ADORA3",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000197461.13","protein_coding","PDGFA",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000137462.9","protein_coding","TLR2",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000163485.17","protein_coding","ADORA1",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000105329.11","protein_coding","TGFB1",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000136634.7","protein_coding","IL10",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000213694.6","protein_coding","S1PR3",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000233276.8","protein_coding","GPX1",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000091106.19","protein_coding","NLRC4",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000172936.16","protein_coding","MYD88",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000276085.1","protein_coding","CCL3L1",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000196136.18","protein_coding","SERPINA3",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000175040.6","protein_coding","CHST2",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000136854.24","protein_coding","STXBP1",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000276070.5","protein_coding","CCL4L2",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000149131.17","protein_coding","SERPING1",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000101017.15","protein_coding","CD40",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000069482.7","protein_coding","GAL",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000011422.12","protein_coding","PLAUR",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000176919.13","protein_coding","C8G",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000148926.10","protein_coding","ADM",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000164733.22","protein_coding","CTSB",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000155659.15","protein_coding","VSIG4",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000117215.15","protein_coding","PLA2G2D",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000169902.15","protein_coding","TPST1",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000115486.13","protein_coding","GGCX",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000091513.16","protein_coding","TF",NA
"IPRES_Hugo","MS_RESP_TO_WOUNDING_UP_IN_MAPKi_aPDL1_NR","ENSG00000108691.10","protein_coding","CCL2",NA
