signature_name,gene_id,gene_type,gene_name,weight
APM_Wang,ENSG00000100804.19,protein_coding,PSMB5,NA
APM_Wang,ENSG00000142507.10,protein_coding,PSMB6,NA
APM_Wang,ENSG00000136930.13,protein_coding,PSMB7,NA
APM_Wang,ENSG00000204264.12,protein_coding,PSMB8,NA
APM_Wang,ENSG00000240065.8,protein_coding,PSMB9,NA
APM_Wang,ENSG00000205220.12,protein_coding,PSMB10,NA
APM_Wang,ENSG00000168394.12,protein_coding,TAP1,NA
APM_Wang,ENSG00000204267.17,protein_coding,TAP2,NA
APM_Wang,ENSG00000164307.13,protein_coding,ERAP1,NA
APM_Wang,ENSG00000164308.17,protein_coding,ERAP2,NA
APM_Wang,ENSG00000127022.16,protein_coding,CANX,NA
APM_Wang,ENSG00000179218.15,protein_coding,CALR,NA
APM_Wang,ENSG00000167004.14,protein_coding,PDIA3,NA
APM_Wang,ENSG00000231925.13,protein_coding,TAPBP,NA
APM_Wang,ENSG00000166710.23,protein_coding,B2M,NA
APM_Wang,ENSG00000206503.13,protein_coding,HLA-A,NA
APM_Wang,ENSG00000234745.14,protein_coding,HLA-B,NA
APM_Wang,ENSG00000204525.18,protein_coding,HLA-C,NA
