"","signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"1","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000105971.15","protein_coding","CAV2",NA
"2","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000138207.15","protein_coding","RBP4",NA
"3","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000105974.13","protein_coding","CAV1",NA
"4","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000075426.12","protein_coding","FOSL2",NA
"5","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000108691.10","protein_coding","CCL2",NA
"6","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000099250.18","protein_coding","NRP1",NA
"7","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000163453.11","protein_coding","IGFBP7",NA
"8","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000120885.22","protein_coding","CLU",NA
"9","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000078401.7","protein_coding","EDN1",NA
"10","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000100906.11","protein_coding","NFKBIA",NA
"11","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000164136.17","protein_coding","IL15",NA
"12","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000157368.12","protein_coding","IL34",NA
"13","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000125398.8","protein_coding","SOX9",NA
"14","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000213694.6","protein_coding","S1PR3",NA
"15","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000144891.19","protein_coding","AGTR1",NA
"16","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000176697.20","protein_coding","BDNF",NA
"17","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000170989.10","protein_coding","S1PR1",NA
"18","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000072195.15","protein_coding","SPEG",NA
"19","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000136630.13","protein_coding","HLX",NA
"20","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000106366.9","protein_coding","SERPINE1",NA
"21","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000167034.10","protein_coding","NKX3-1",NA
"22","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000145431.11","protein_coding","PDGFC",NA
"23","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000272398.6","protein_coding","CD24",NA
"24","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000157168.20","protein_coding","NRG1",NA
"25","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000124813.23","protein_coding","RUNX2",NA
"26","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000138685.17","protein_coding","FGF2",NA
"27","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000146648.20","protein_coding","EGFR",NA
"28","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000125384.7","protein_coding","PTGER2",NA
"29","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000175274.19","protein_coding","TP53I11",NA
"30","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000136244.12","protein_coding","IL6",NA
"31","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000169047.6","protein_coding","IRS1",NA
"32","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000197646.8","protein_coding","PDCD1LG2",NA
"33","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000123933.17","protein_coding","MXD4",NA
"34","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000150630.4","protein_coding","VEGFC",NA
"35","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000140945.17","protein_coding","CDH13",NA
"36","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000049249.9","protein_coding","TNFRSF9",NA
"37","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000169252.6","protein_coding","ADRB2",NA
"38","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000177606.8","protein_coding","JUN",NA
"39","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000117525.14","protein_coding","F3",NA
"40","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000169594.14","protein_coding","BNC1",NA
"41","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000168811.7","protein_coding","IL12A",NA
"42","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000113721.14","protein_coding","PDGFRB",NA
"43","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000140682.19","protein_coding","TGFB1I1",NA
"44","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000122861.16","protein_coding","PLAU",NA
"45","IPRES","MAPKR_REG_CELL_PROLIF_UP","ENSG00000134259.6","protein_coding","NGF",NA
