"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000154096.14","protein_coding","THY1",NA,7070
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000074410.14","protein_coding","CA12",NA,771
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000108691.10","protein_coding","CCL2",NA,6347
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000142173.16","protein_coding","COL6A2",NA,1292
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000100985.7","protein_coding","MMP9",NA,4318
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000128422.18","protein_coding","KRT17",NA,3872
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000134827.8","protein_coding","TCN1",NA,6947
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000142156.16","protein_coding","COL6A1",NA,1291
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000122861.16","protein_coding","PLAU",NA,5328
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000188536.13","protein_coding","HBA2",NA,3040
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000121895.8","protein_coding","TMEM156",NA,80008
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000184515.11","protein_coding","BEX5",NA,340542
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000000938.13","protein_coding","FGR",NA,2268
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000089356.19","protein_coding","FXYD3",NA,5349
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000041982.16","protein_coding","TNC",NA,3371
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000120738.8","protein_coding","EGR1",NA,1958
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000130766.5","protein_coding","SESN2",NA,83667
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000170345.10","protein_coding","FOS",NA,2353
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000113721.14","protein_coding","PDGFRB",NA,5159
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000143387.14","protein_coding","CTSK",NA,1513
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000164949.8","protein_coding","GEM",NA,2669
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000169213.7","protein_coding","RAB3B",NA,5865
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000164932.13","protein_coding","CTHRC1",NA,115908
"IPRES_Hugo","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","ENSG00000197461.13","protein_coding","PDGFA",NA,5154
