"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000038427.16","protein_coding","VCAN",NA,"1462"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000159167.12","protein_coding","STC1",NA,"6781"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000118971.9","protein_coding","CCND2",NA,"894"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000138448.12","protein_coding","ITGAV",NA,"3685"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000100985.7","protein_coding","MMP9",NA,"4318"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000164683.18","protein_coding","HEY1",NA,"23462"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000121966.8","protein_coding","CXCR4",NA,"7852"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000112715.26","protein_coding","VEGFA",NA,"7422"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000010810.17","protein_coding","FYN",NA,"2534"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000112242.16","protein_coding","E2F3",NA,"1871"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000184916.9","protein_coding","JAG2",NA,"3714"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000156427.8","protein_coding","FGF18",NA,"8817"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000160293.17","protein_coding","VAV2",NA,"7410"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000118785.15","protein_coding","SPP1",NA,"6696"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000105173.14","protein_coding","CCNE1",NA,"898"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000197461.13","protein_coding","PDGFA",NA,"5154"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000123610.5","protein_coding","TNFAIP6",NA,"7130"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000077782.22","protein_coding","FGFR1",NA,"2260"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000101384.12","protein_coding","JAG1",NA,"182"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000025708.14","protein_coding","TYMP",NA,"1890"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000078401.7","protein_coding","EDN1",NA,"1906"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000026508.21","protein_coding","CD44",NA,"960"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000106462.12","protein_coding","EZH2",NA,"2146"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000148400.13","protein_coding","NOTCH1",NA,"4851"
"IPRES_Hugo","LU_TUMOR_ANGIOGENESIS_UP","ENSG00000169398.20","protein_coding","PTK2",NA,"5747"
